# section=2
# run_id=D
# param_name=mdelta
# param_value=700
# m_delta_mev=700.0
# g_delta_factor=2.0000
# lambda_3_factor=1.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# mu_min_mev=250.0
# mu_max_mev=900.0
# num_raw_points=700
# omega_vac_mev4=-5.8164593665e+08
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
3.0858369099e+02 9.2575107296e+02 8.1717371951e+01 8.1600449714e+00 5.2645451429e+01 7.8635355018e+01 -2.8384030276e+01 3.9317677509e+01 1.3327773920e+01 6.7271919688e+06 1.4131352332e+06 4.7104507775e+05 4.2934329417e+08 2.0116047281e-02 -5.8837312862e+08 2SC 1 8.4294655022e-06
3.0951359084e+02 9.2854077253e+02 7.9059076960e+01 8.8971337789e+00 5.7400863090e+01 8.8016985072e+01 -2.8431649855e+01 4.4008492536e+01 1.3392370554e+01 8.1349092459e+06 1.6560519816e+06 5.5201732719e+05 5.0443568620e+08 1.8868743672e-02 -5.8978084590e+08 2SC 1 4.4008219596e-05
3.1044349070e+02 9.3133047210e+02 7.6829863850e+01 9.9842575683e+00 6.4414564957e+01 9.7247338597e+01 -3.0933241433e+01 4.8623669299e+01 1.5790895658e+01 9.8071169703e+06 1.9398002429e+06 6.4660008098e+05 5.9239124171e+08 2.0797008547e-02 -5.9145305362e+08 2SC 1 1.1977233877e-05
3.1137339056e+02 9.3412017167e+02 7.5259413237e+01 1.0390509040e+01 6.7035542191e+01 1.0252902185e+02 -3.0770391547e+01 5.1264510927e+01 1.5771031264e+01 1.1742549183e+07 2.2159939695e+06 7.3866465649e+05 6.7825900655e+08 2.5108439422e-02 -5.9338848584e+08 2SC 1 3.0717349485e-05
3.1230329041e+02 9.3690987124e+02 7.3185419929e+01 1.1031345923e+01 7.1169973700e+01 1.0941191250e+02 -3.1260943308e+01 5.4705956252e+01 1.6464017448e+01 1.3928421921e+07 2.4710280597e+06 8.2367601989e+05 7.5778177182e+08 2.4996323531e-02 -5.9557435857e+08 2SC 1 3.8293364897e-05
3.1323319027e+02 9.3969957082e+02 7.1794648401e+01 1.1588384094e+01 7.4763768349e+01 1.1445252724e+02 -3.2101433140e+01 5.7226263621e+01 1.7537504729e+01 1.6338166461e+07 2.8294968614e+06 9.4316562048e+05 8.6995416231e+08 2.6534524502e-02 -5.9798410311e+08 2SC 1 2.0945109438e-05
3.1416309013e+02 9.4248927039e+02 6.7725223386e+01 1.2441540802e+01 8.0268005174e+01 1.2524511122e+02 -3.1734149718e+01 6.2622555608e+01 1.7645449565e+01 1.9190719374e+07 3.1257984127e+06 1.0419328042e+06 9.6281976908e+08 3.1433780819e-02 -6.0083665603e+08 2SC 1 9.8932126217e-06
3.1509298999e+02 9.4527896996e+02 6.7481505738e+01 1.2511250310e+01 8.0717743937e+01 1.2649369411e+02 -3.1502757242e+01 6.3246847054e+01 1.7470896883e+01 2.2151525455e+07 3.4182922586e+06 1.1394307529e+06 1.0549284029e+09 3.0110704385e-02 -6.0379746211e+08 2SC 1 4.0217393002e-06
3.1602288984e+02 9.4806866953e+02 6.4262434271e+01 1.3387131740e+01 8.6368591873e+01 1.3509553111e+02 -3.2210651805e+01 6.7547765557e+01 1.8820826315e+01 2.5548058338e+07 3.8116602089e+06 1.2705534030e+06 1.1790238160e+09 3.3927515933e-02 -6.0719399499e+08 2SC 1 4.1672984872e-06
3.1695278970e+02 9.5085836910e+02 6.1451653794e+01 1.3828581051e+01 8.9216651940e+01 1.4155909931e+02 -3.1509418028e+01 7.0779549657e+01 1.8437102283e+01 2.9240450021e+07 4.1113104928e+06 1.3704368309e+06 1.2738508800e+09 5.6307477543e-02 -6.1088638667e+08 2SC 1 4.1210123482e-05
