# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=600.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=5.806289137042e+08
# B0_gev_fm3=7.556822962283e-02
# B_mev4=2.049723851997e+06
# B_gev_fm3=2.667693582859e-04
# B_1_4_mev=37.837622
# B_min_mev4=6.005214958383e+05
# B_min_gev_fm3=7.815722782636e-05
# B_min_1_4_mev=27.837622
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
3.248e-08 1.268e+08 1.650e-02 2.100e+00 5.704e-04 1.000e+00
3.508e-08 1.268e+08 1.651e-02 2.180e+00 6.383e-04 1.000e+00
3.789e-08 1.269e+08 1.652e-02 2.260e+00 7.114e-04 1.000e+00
4.092e-08 1.271e+08 1.654e-02 2.350e+00 8.000e-04 1.000e+00
4.419e-08 1.272e+08 1.655e-02 2.440e+00 8.959e-04 1.000e+00
4.773e-08 1.273e+08 1.657e-02 2.540e+00 1.011e-03 1.000e+00
5.155e-08 1.274e+08 1.659e-02 2.630e+00 1.123e-03 1.000e+00
5.567e-08 1.276e+08 1.660e-02 2.730e+00 1.256e-03 1.000e+00
6.013e-08 1.277e+08 1.663e-02 2.840e+00 1.415e-03 1.000e+00
6.494e-08 1.279e+08 1.665e-02 2.950e+00 1.587e-03 1.000e+00
7.013e-08 1.281e+08 1.667e-02 3.060e+00 1.772e-03 1.000e+00
7.574e-08 1.283e+08 1.670e-02 3.180e+00 1.990e-03 1.000e+00
8.180e-08 1.285e+08 1.673e-02 3.300e+00 2.225e-03 1.000e+00
8.834e-08 1.287e+08 1.676e-02 3.420e+00 2.479e-03 1.000e+00
9.541e-08 1.290e+08 1.679e-02 3.550e+00 2.775e-03 1.000e+00
1.030e-07 1.293e+08 1.682e-02 3.690e+00 3.119e-03 1.000e+00
1.113e-07 1.296e+08 1.686e-02 3.830e+00 3.490e-03 1.000e+00
1.202e-07 1.299e+08 1.690e-02 3.970e+00 3.891e-03 1.000e+00
1.298e-07 1.302e+08 1.695e-02 4.120e+00 4.354e-03 1.000e+00
1.402e-07 1.306e+08 1.700e-02 4.270e+00 4.852e-03 1.000e+00
1.514e-07 1.310e+08 1.705e-02 4.430e+00 5.425e-03 1.000e+00
1.635e-07 1.314e+08 1.710e-02 4.590e+00 6.042e-03 1.000e+00
1.766e-07 1.319e+08 1.716e-02 4.760e+00 6.748e-03 1.000e+00
1.907e-07 1.324e+08 1.723e-02 4.940e+00 7.554e-03 1.000e+00
2.060e-07 1.329e+08 1.730e-02 5.120e+00 8.424e-03 1.000e+00
2.225e-07 1.335e+08 1.737e-02 5.300e+00 9.361e-03 1.000e+00
2.403e-07 1.341e+08 1.745e-02 5.500e+00 1.048e-02 1.000e+00
2.595e-07 1.348e+08 1.754e-02 5.690e+00 1.163e-02 1.000e+00
2.802e-07 1.355e+08 1.764e-02 5.890e+00 1.293e-02 1.000e+00
3.027e-07 1.363e+08 1.774e-02 6.100e+00 1.439e-02 1.000e+00
3.269e-07 1.372e+08 1.785e-02 6.320e+00 1.604e-02 1.000e+00
3.530e-07 1.381e+08 1.797e-02 6.540e+00 1.783e-02 1.000e+00
3.813e-07 1.391e+08 1.810e-02 6.760e+00 1.974e-02 1.000e+00
