# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=600.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=5.806289137042e+08
# B0_gev_fm3=7.556822962283e-02
# B_mev4=0.000000000000e+00
# B_gev_fm3=0.000000000000e+00
# B_1_4_mev=0.000000
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
1.364e-04 2.312e+09 3.009e-01 2.464e+01 7.402e-01 1.000e+00
1.474e-04 2.357e+09 3.068e-01 2.374e+01 7.409e-01 1.000e+00
1.591e-04 2.404e+09 3.128e-01 2.286e+01 7.452e-01 1.000e+00
1.719e-04 2.451e+09 3.190e-01 2.201e+01 7.533e-01 1.000e+00
1.856e-04 2.500e+09 3.254e-01 2.120e+01 7.652e-01 1.000e+00
2.005e-04 2.551e+09 3.320e-01 2.044e+01 7.807e-01 1.000e+00
2.165e-04 2.603e+09 3.388e-01 1.973e+01 7.997e-01 1.000e+00
2.338e-04 2.658e+09 3.459e-01 1.908e+01 8.220e-01 1.000e+00
2.525e-04 2.715e+09 3.534e-01 1.848e+01 8.473e-01 1.000e+00
2.727e-04 2.775e+09 3.612e-01 1.794e+01 8.755e-01 1.000e+00
2.946e-04 2.838e+09 3.693e-01 1.745e+01 9.062e-01 1.000e+00
3.181e-04 2.904e+09 3.779e-01 1.701e+01 9.392e-01 1.000e+00
3.436e-04 2.974e+09 3.870e-01 1.661e+01 9.741e-01 1.000e+00
3.711e-04 3.048e+09 3.967e-01 1.625e+01 1.011e+00 1.000e+00
4.008e-04 3.126e+09 4.069e-01 1.593e+01 1.049e+00 1.000e+00
4.328e-04 3.210e+09 4.177e-01 1.564e+01 1.088e+00 1.000e+00
4.674e-04 3.298e+09 4.293e-01 1.537e+01 1.129e+00 1.000e+00
5.048e-04 3.393e+09 4.416e-01 1.513e+01 1.170e+00 1.000e+00
5.452e-04 3.494e+09 4.548e-01 1.492e+01 1.211e+00 1.000e+00
5.888e-04 3.603e+09 4.689e-01 1.472e+01 1.252e+00 1.000e+00
6.360e-04 3.719e+09 4.840e-01 1.453e+01 1.293e+00 1.000e+00
6.868e-04 3.843e+09 5.002e-01 1.436e+01 1.334e+00 1.000e+00
7.418e-04 3.977e+09 5.175e-01 1.420e+01 1.374e+00 1.000e+00
8.011e-04 4.120e+09 5.362e-01 1.405e+01 1.413e+00 1.000e+00
8.652e-04 4.274e+09 5.562e-01 1.391e+01 1.451e+00 1.000e+00
9.344e-04 4.440e+09 5.778e-01 1.378e+01 1.487e+00 1.000e+00
1.009e-03 4.618e+09 6.010e-01 1.364e+01 1.522e+00 1.000e+00
1.090e-03 4.810e+09 6.260e-01 1.352e+01 1.556e+00 1.000e+00
1.177e-03 5.017e+09 6.529e-01 1.340e+01 1.587e+00 1.000e+00
1.271e-03 5.239e+09 6.819e-01 1.328e+01 1.617e+00 1.000e+00
1.373e-03 5.479e+09 7.131e-01 1.316e+01 1.644e+00 1.000e+00
1.483e-03 5.738e+09 7.468e-01 1.304e+01 1.669e+00 1.000e+00
1.601e-03 6.017e+09 7.832e-01 1.293e+01 1.692e+00 1.000e+00
1.730e-03 6.318e+09 8.223e-01 1.281e+01 1.713e+00 1.000e+00
1.868e-03 6.643e+09 8.646e-01 1.270e+01 1.731e+00 1.000e+00
2.017e-03 6.994e+09 9.102e-01 1.259e+01 1.747e+00 1.000e+00
2.179e-03 7.372e+09 9.595e-01 1.247e+01 1.761e+00 1.000e+00
2.353e-03 7.780e+09 1.013e+00 1.236e+01 1.772e+00 1.000e+00
2.541e-03 8.221e+09 1.070e+00 1.225e+01 1.781e+00 1.000e+00
2.745e-03 8.696e+09 1.132e+00 1.214e+01 1.788e+00 1.000e+00
2.964e-03 9.210e+09 1.199e+00 1.202e+01 1.793e+00 1.000e+00
3.201e-03 9.764e+09 1.271e+00 1.191e+01 1.796e+00 1.000e+00
3.457e-03 1.036e+10 1.349e+00 1.180e+01 1.797e+00 1.000e+00
3.734e-03 1.101e+10 1.433e+00 1.169e+01 1.797e+00 0.000e+00
4.033e-03 1.171e+10 1.523e+00 1.158e+01 1.794e+00 0.000e+00
4.355e-03 1.246e+10 1.622e+00 1.147e+01 1.790e+00 0.000e+00
4.704e-03 1.327e+10 1.727e+00 1.136e+01 1.784e+00 0.000e+00
5.080e-03 1.415e+10 1.842e+00 1.125e+01 1.777e+00 0.000e+00
5.486e-03 1.510e+10 1.965e+00 1.114e+01 1.768e+00 0.000e+00
5.925e-03 1.612e+10 2.098e+00 1.104e+01 1.759e+00 0.000e+00
6.399e-03 1.723e+10 2.242e+00 1.094e+01 1.748e+00 0.000e+00
6.911e-03 1.842e+10 2.398e+00 1.083e+01 1.736e+00 0.000e+00
7.464e-03 1.971e+10 2.566e+00 1.073e+01 1.723e+00 0.000e+00
8.061e-03 2.111e+10 2.747e+00 1.064e+01 1.710e+00 0.000e+00
8.706e-03 2.261e+10 2.943e+00 1.054e+01 1.695e+00 0.000e+00
9.403e-03 2.423e+10 3.154e+00 1.045e+01 1.680e+00 0.000e+00
1.015e-02 2.599e+10 3.382e+00 1.036e+01 1.665e+00 0.000e+00
1.097e-02 2.788e+10 3.629e+00 1.027e+01 1.649e+00 0.000e+00
1.184e-02 2.993e+10 3.895e+00 1.018e+01 1.633e+00 0.000e+00
1.279e-02 3.214e+10 4.183e+00 1.010e+01 1.616e+00 0.000e+00
1.382e-02 3.453e+10 4.493e+00 1.002e+01 1.599e+00 0.000e+00
1.492e-02 3.710e+10 4.829e+00 9.950e+00 1.582e+00 0.000e+00
1.611e-02 3.989e+10 5.191e+00 9.870e+00 1.565e+00 0.000e+00
1.740e-02 4.289e+10 5.582e+00 9.800e+00 1.548e+00 0.000e+00
1.880e-02 4.614e+10 6.005e+00 9.740e+00 1.530e+00 0.000e+00
2.030e-02 4.965e+10 6.461e+00 9.670e+00 1.513e+00 0.000e+00
2.192e-02 5.343e+10 6.954e+00 9.620e+00 1.496e+00 0.000e+00
2.368e-02 5.752e+10 7.486e+00 9.560e+00 1.479e+00 0.000e+00
2.557e-02 6.194e+10 8.061e+00 9.510e+00 1.463e+00 0.000e+00
2.762e-02 6.671e+10 8.682e+00 9.460e+00 1.446e+00 0.000e+00
2.983e-02 7.186e+10 9.352e+00 9.420e+00 1.430e+00 0.000e+00
