# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=500.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=4.033789244638e+08
# B0_gev_fm3=5.249933385925e-02
# B_mev4=8.023843572605e+07
# B_gev_fm3=1.044294624744e-02
# B_1_4_mev=94.644551
# B_min_mev4=5.133292528459e+07
# B_min_gev_fm3=6.680925103039e-03
# B_min_1_4_mev=84.644551
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
3.850e-04 2.763e+09 3.596e-01 1.017e+01 1.090e+00 1.000e+00
4.158e-04 2.838e+09 3.694e-01 1.029e+01 1.141e+00 1.000e+00
4.491e-04 2.918e+09 3.798e-01 1.041e+01 1.195e+00 1.000e+00
4.850e-04 3.005e+09 3.911e-01 1.053e+01 1.251e+00 1.000e+00
5.238e-04 3.098e+09 4.032e-01 1.063e+01 1.303e+00 1.000e+00
5.657e-04 3.198e+09 4.162e-01 1.072e+01 1.354e+00 1.000e+00
6.109e-04 3.306e+09 4.303e-01 1.081e+01 1.406e+00 1.000e+00
6.598e-04 3.422e+09 4.454e-01 1.088e+01 1.454e+00 1.000e+00
7.126e-04 3.548e+09 4.617e-01 1.095e+01 1.503e+00 1.000e+00
7.696e-04 3.683e+09 4.793e-01 1.101e+01 1.549e+00 1.000e+00
8.312e-04 3.829e+09 4.983e-01 1.105e+01 1.591e+00 1.000e+00
8.977e-04 3.986e+09 5.187e-01 1.109e+01 1.633e+00 1.000e+00
9.695e-04 4.155e+09 5.408e-01 1.112e+01 1.673e+00 1.000e+00
1.047e-03 4.338e+09 5.646e-01 1.114e+01 1.709e+00 1.000e+00
1.131e-03 4.535e+09 5.902e-01 1.115e+01 1.743e+00 1.000e+00
1.221e-03 4.748e+09 6.179e-01 1.116e+01 1.777e+00 1.000e+00
1.319e-03 4.977e+09 6.478e-01 1.115e+01 1.804e+00 1.000e+00
1.424e-03 5.225e+09 6.800e-01 1.114e+01 1.831e+00 1.000e+00
1.538e-03 5.492e+09 7.148e-01 1.112e+01 1.854e+00 1.000e+00
1.661e-03 5.780e+09 7.523e-01 1.109e+01 1.874e+00 1.000e+00
1.794e-03 6.092e+09 7.928e-01 1.106e+01 1.893e+00 1.000e+00
1.938e-03 6.428e+09 8.365e-01 1.101e+01 1.905e+00 1.000e+00
2.093e-03 6.790e+09 8.837e-01 1.097e+01 1.919e+00 1.000e+00
2.260e-03 7.182e+09 9.347e-01 1.092e+01 1.930e+00 1.000e+00
2.441e-03 7.605e+09 9.897e-01 1.086e+01 1.936e+00 1.000e+00
2.637e-03 8.061e+09 1.049e+00 1.080e+01 1.942e+00 1.000e+00
2.848e-03 8.554e+09 1.113e+00 1.073e+01 1.943e+00 1.000e+00
3.075e-03 9.086e+09 1.183e+00 1.066e+01 1.944e+00 1.000e+00
3.321e-03 9.660e+09 1.257e+00 1.059e+01 1.943e+00 0.000e+00
3.587e-03 1.028e+10 1.338e+00 1.052e+01 1.941e+00 0.000e+00
3.874e-03 1.095e+10 1.425e+00 1.044e+01 1.936e+00 0.000e+00
4.184e-03 1.167e+10 1.519e+00 1.036e+01 1.929e+00 0.000e+00
4.519e-03 1.245e+10 1.621e+00 1.028e+01 1.921e+00 0.000e+00
4.880e-03 1.330e+10 1.731e+00 1.019e+01 1.910e+00 0.000e+00
5.271e-03 1.421e+10 1.849e+00 1.011e+01 1.900e+00 0.000e+00
5.692e-03 1.519e+10 1.977e+00 1.002e+01 1.887e+00 0.000e+00
6.148e-03 1.626e+10 2.116e+00 9.940e+00 1.875e+00 0.000e+00
6.639e-03 1.740e+10 2.265e+00 9.850e+00 1.860e+00 0.000e+00
7.171e-03 1.864e+10 2.426e+00 9.760e+00 1.844e+00 0.000e+00
7.744e-03 1.998e+10 2.600e+00 9.680e+00 1.829e+00 0.000e+00
8.364e-03 2.142e+10 2.788e+00 9.590e+00 1.811e+00 0.000e+00
9.033e-03 2.298e+10 2.991e+00 9.510e+00 1.795e+00 0.000e+00
9.755e-03 2.467e+10 3.211e+00 9.430e+00 1.779e+00 0.000e+00
1.054e-02 2.649e+10 3.448e+00 9.340e+00 1.759e+00 0.000e+00
1.138e-02 2.846e+10 3.703e+00 9.260e+00 1.741e+00 0.000e+00
1.229e-02 3.058e+10 3.980e+00 9.190e+00 1.724e+00 0.000e+00
1.327e-02 3.287e+10 4.278e+00 9.110e+00 1.705e+00 0.000e+00
1.433e-02 3.535e+10 4.600e+00 9.030e+00 1.685e+00 0.000e+00
1.548e-02 3.802e+10 4.948e+00 8.960e+00 1.667e+00 0.000e+00
1.672e-02 4.091e+10 5.324e+00 8.890e+00 1.649e+00 0.000e+00
1.806e-02 4.403e+10 5.730e+00 8.820e+00 1.630e+00 0.000e+00
1.950e-02 4.740e+10 6.168e+00 8.760e+00 1.612e+00 0.000e+00
2.106e-02 5.103e+10 6.642e+00 8.690e+00 1.593e+00 0.000e+00
2.275e-02 5.496e+10 7.153e+00 8.630e+00 1.575e+00 0.000e+00
2.457e-02 5.920e+10 7.705e+00 8.570e+00 1.557e+00 0.000e+00
2.653e-02 6.379e+10 8.302e+00 8.520e+00 1.541e+00 0.000e+00
