# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=400.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=3.138943658406e+08
# B0_gev_fm3=4.085301464549e-02
# B_mev4=0.000000000000e+00
# B_gev_fm3=0.000000000000e+00
# B_1_4_mev=0.000000
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
8.266e-09 4.508e+06 5.867e-04 4.039e+01 7.071e-02 1.000e+00
8.928e-09 4.836e+06 6.293e-04 4.067e+01 7.401e-02 1.000e+00
9.642e-09 5.263e+06 6.850e-04 4.088e+01 7.701e-02 1.000e+00
1.041e-08 5.859e+06 7.626e-04 4.101e+01 7.950e-02 1.000e+00
1.125e-08 6.668e+06 8.678e-04 4.105e+01 8.130e-02 1.000e+00
1.215e-08 7.697e+06 1.002e-03 4.100e+01 8.236e-02 1.000e+00
1.312e-08 8.942e+06 1.164e-03 4.089e+01 8.282e-02 1.000e+00
1.417e-08 1.038e+07 1.351e-03 4.073e+01 8.278e-02 1.000e+00
1.530e-08 1.198e+07 1.559e-03 4.054e+01 8.240e-02 1.000e+00
1.652e-08 1.371e+07 1.784e-03 4.034e+01 8.182e-02 1.000e+00
1.785e-08 1.557e+07 2.027e-03 4.013e+01 8.109e-02 1.000e+00
1.927e-08 1.759e+07 2.290e-03 3.991e+01 8.024e-02 1.000e+00
2.082e-08 1.978e+07 2.574e-03 3.970e+01 7.937e-02 1.000e+00
2.248e-08 2.215e+07 2.882e-03 3.949e+01 7.846e-02 1.000e+00
2.428e-08 2.470e+07 3.215e-03 3.929e+01 7.755e-02 1.000e+00
2.622e-08 2.747e+07 3.576e-03 3.909e+01 7.662e-02 1.000e+00
2.832e-08 3.047e+07 3.966e-03 3.889e+01 7.568e-02 1.000e+00
3.059e-08 3.371e+07 4.388e-03 3.871e+01 7.479e-02 1.000e+00
3.303e-08 3.723e+07 4.845e-03 3.853e+01 7.390e-02 1.000e+00
3.567e-08 4.103e+07 5.340e-03 3.835e+01 7.301e-02 1.000e+00
3.853e-08 4.515e+07 5.876e-03 3.819e+01 7.218e-02 1.000e+00
4.161e-08 4.961e+07 6.457e-03 3.803e+01 7.136e-02 1.000e+00
4.494e-08 5.444e+07 7.086e-03 3.788e+01 7.057e-02 1.000e+00
4.854e-08 5.968e+07 7.767e-03 3.774e+01 6.981e-02 1.000e+00
5.242e-08 6.536e+07 8.506e-03 3.760e+01 6.906e-02 1.000e+00
5.661e-08 7.151e+07 9.307e-03 3.748e+01 6.838e-02 1.000e+00
6.114e-08 7.818e+07 1.018e-02 3.736e+01 6.771e-02 1.000e+00
6.603e-08 8.541e+07 1.112e-02 3.725e+01 6.707e-02 1.000e+00
7.131e-08 9.326e+07 1.214e-02 3.714e+01 6.644e-02 1.000e+00
7.702e-08 1.018e+08 1.325e-02 3.704e+01 6.586e-02 1.000e+00
8.318e-08 1.110e+08 1.445e-02 3.696e+01 6.534e-02 1.000e+00
8.984e-08 1.210e+08 1.575e-02 3.687e+01 6.480e-02 1.000e+00
9.702e-08 1.319e+08 1.717e-02 3.680e+01 6.433e-02 1.000e+00
1.048e-07 1.437e+08 1.870e-02 3.673e+01 6.387e-02 1.000e+00
1.132e-07 1.565e+08 2.037e-02 3.667e+01 6.344e-02 1.000e+00
1.222e-07 1.705e+08 2.218e-02 3.661e+01 6.303e-02 1.000e+00
1.320e-07 1.856e+08 2.415e-02 3.656e+01 6.266e-02 1.000e+00
1.426e-07 2.020e+08 2.629e-02 3.652e+01 6.233e-02 1.000e+00
1.540e-07 2.198e+08 2.860e-02 3.649e+01 6.204e-02 1.000e+00
1.663e-07 2.391e+08 3.112e-02 3.646e+01 6.175e-02 1.000e+00
1.796e-07 2.600e+08 3.385e-02 3.643e+01 6.148e-02 1.000e+00
1.939e-07 2.828e+08 3.680e-02 3.641e+01 6.125e-02 1.000e+00
2.095e-07 3.074e+08 4.001e-02 3.640e+01 6.106e-02 1.000e+00
2.262e-07 3.341e+08 4.348e-02 3.639e+01 6.087e-02 1.000e+00
2.443e-07 3.629e+08 4.723e-02 3.639e+01 6.073e-02 1.000e+00
2.639e-07 3.941e+08 5.129e-02 3.639e+01 6.059e-02 1.000e+00
2.850e-07 4.277e+08 5.566e-02 3.640e+01 6.050e-02 1.000e+00
3.078e-07 4.638e+08 6.037e-02 3.640e+01 6.038e-02 1.000e+00
3.324e-07 5.026e+08 6.542e-02 3.642e+01 6.033e-02 1.000e+00
3.590e-07 5.441e+08 7.082e-02 3.643e+01 6.027e-02 1.000e+00
3.877e-07 5.883e+08 7.657e-02 3.645e+01 6.023e-02 1.000e+00
4.187e-07 6.352e+08 8.267e-02 3.647e+01 6.021e-02 1.000e+00
4.522e-07 6.844e+08 8.908e-02 3.650e+01 6.022e-02 1.000e+00
4.884e-07 7.359e+08 9.577e-02 3.652e+01 6.020e-02 1.000e+00
5.275e-07 7.890e+08 1.027e-01 3.655e+01 6.022e-02 1.000e+00
5.697e-07 8.430e+08 1.097e-01 3.658e+01 6.024e-02 1.000e+00
6.152e-07 8.968e+08 1.167e-01 3.661e+01 6.026e-02 1.000e+00
6.645e-07 9.490e+08 1.235e-01 3.665e+01 6.031e-02 1.000e+00
7.176e-07 9.975e+08 1.298e-01 3.668e+01 6.032e-02 1.000e+00
7.750e-07 1.040e+09 1.353e-01 3.671e+01 6.033e-02 1.000e+00
8.370e-07 1.074e+09 1.397e-01 3.675e+01 6.034e-02 1.000e+00
9.040e-07 1.098e+09 1.430e-01 3.678e+01 6.030e-02 1.000e+00
9.763e-07 1.113e+09 1.448e-01 3.680e+01 6.019e-02 1.000e+00
1.054e-06 1.116e+09 1.453e-01 3.682e+01 6.001e-02 1.000e+00
1.139e-06 1.109e+09 1.443e-01 3.681e+01 5.965e-02 1.000e+00
1.230e-06 1.091e+09 1.420e-01 3.677e+01 5.906e-02 1.000e+00
1.328e-06 1.066e+09 1.387e-01 3.667e+01 5.809e-02 1.000e+00
1.435e-06 1.037e+09 1.349e-01 3.646e+01 5.654e-02 1.000e+00
1.549e-06 1.010e+09 1.315e-01 3.608e+01 5.417e-02 1.000e+00
1.673e-06 9.934e+08 1.293e-01 3.546e+01 5.084e-02 1.000e+00
1.807e-06 9.870e+08 1.285e-01 3.454e+01 4.654e-02 1.000e+00
1.952e-06 9.902e+08 1.289e-01 3.325e+01 4.138e-02 1.000e+00
2.108e-06 1.001e+09 1.302e-01 3.154e+01 3.566e-02 1.000e+00
2.276e-06 1.014e+09 1.320e-01 2.936e+01 2.973e-02 1.000e+00
2.458e-06 1.024e+09 1.333e-01 2.666e+01 2.397e-02 1.000e+00
2.655e-06 1.028e+09 1.337e-01 2.343e+01 1.888e-02 1.000e+00
2.868e-06 1.026e+09 1.336e-01 1.984e+01 1.502e-02 1.000e+00
3.097e-06 1.023e+09 1.331e-01 1.636e+01 1.278e-02 1.000e+00
3.345e-06 1.021e+09 1.329e-01 1.350e+01 1.198e-02 1.000e+00
3.612e-06 1.022e+09 1.330e-01 1.140e+01 1.211e-02 1.000e+00
3.901e-06 1.025e+09 1.334e-01 9.920e+00 1.278e-02 1.000e+00
4.213e-06 1.028e+09 1.337e-01 8.880e+00 1.379e-02 1.000e+00
4.551e-06 1.029e+09 1.339e-01 8.130e+00 1.507e-02 1.000e+00
4.915e-06 1.030e+09 1.341e-01 7.580e+00 1.658e-02 1.000e+00
5.308e-06 1.032e+09 1.343e-01 7.180e+00 1.832e-02 1.000e+00
5.732e-06 1.034e+09 1.346e-01 6.880e+00 2.030e-02 1.000e+00
6.191e-06 1.036e+09 1.349e-01 6.660e+00 2.253e-02 1.000e+00
6.686e-06 1.038e+09 1.351e-01 6.500e+00 2.502e-02 1.000e+00
7.221e-06 1.041e+09 1.354e-01 6.390e+00 2.782e-02 1.000e+00
7.799e-06 1.043e+09 1.358e-01 6.320e+00 3.094e-02 1.000e+00
8.423e-06 1.046e+09 1.361e-01 6.280e+00 3.441e-02 1.000e+00
9.096e-06 1.049e+09 1.365e-01 6.270e+00 3.827e-02 1.000e+00
9.824e-06 1.052e+09 1.369e-01 6.280e+00 4.256e-02 1.000e+00
1.061e-05 1.056e+09 1.374e-01 6.320e+00 4.733e-02 1.000e+00
1.146e-05 1.059e+09 1.379e-01 6.370e+00 5.261e-02 1.000e+00
1.238e-05 1.063e+09 1.384e-01 6.430e+00 5.845e-02 1.000e+00
1.337e-05 1.067e+09 1.389e-01 6.510e+00 6.491e-02 1.000e+00
1.443e-05 1.072e+09 1.395e-01 6.600e+00 7.205e-02 1.000e+00
1.559e-05 1.077e+09 1.401e-01 6.710e+00 7.993e-02 1.000e+00
1.684e-05 1.082e+09 1.408e-01 6.820e+00 8.861e-02 1.000e+00
1.818e-05 1.087e+09 1.415e-01 6.950e+00 9.817e-02 1.000e+00
1.964e-05 1.093e+09 1.422e-01 7.080e+00 1.087e-01 1.000e+00
2.121e-05 1.099e+09 1.430e-01 7.230e+00 1.202e-01 1.000e+00
2.291e-05 1.106e+09 1.439e-01 7.380e+00 1.328e-01 1.000e+00
2.474e-05 1.113e+09 1.448e-01 7.540e+00 1.466e-01 1.000e+00
2.672e-05 1.120e+09 1.458e-01 7.700e+00 1.618e-01 1.000e+00
2.886e-05 1.128e+09 1.468e-01 7.880e+00 1.782e-01 1.000e+00
3.116e-05 1.137e+09 1.479e-01 8.060e+00 1.962e-01 1.000e+00
3.366e-05 1.146e+09 1.491e-01 8.240e+00 2.157e-01 1.000e+00
3.635e-05 1.155e+09 1.503e-01 8.430e+00 2.368e-01 1.000e+00
3.926e-05 1.165e+09 1.517e-01 8.630e+00 2.597e-01 1.000e+00
4.240e-05 1.176e+09 1.531e-01 8.830e+00 2.844e-01 1.000e+00
4.579e-05 1.188e+09 1.546e-01 9.040e+00 3.111e-01 1.000e+00
4.945e-05 1.200e+09 1.562e-01 9.240e+00 3.398e-01 1.000e+00
5.341e-05 1.213e+09 1.579e-01 9.450e+00 3.706e-01 1.000e+00
5.768e-05 1.227e+09 1.597e-01 9.670e+00 4.036e-01 1.000e+00
6.230e-05 1.242e+09 1.616e-01 9.880e+00 4.387e-01 1.000e+00
6.728e-05 1.257e+09 1.636e-01 1.010e+01 4.762e-01 1.000e+00
7.266e-05 1.274e+09 1.658e-01 1.032e+01 5.160e-01 1.000e+00
7.848e-05 1.292e+09 1.681e-01 1.054e+01 5.582e-01 1.000e+00
8.475e-05 1.310e+09 1.705e-01 1.075e+01 6.028e-01 1.000e+00
9.153e-05 1.330e+09 1.731e-01 1.097e+01 6.496e-01 1.000e+00
9.886e-05 1.352e+09 1.759e-01 1.119e+01 6.989e-01 1.000e+00
1.068e-04 1.374e+09 1.789e-01 1.140e+01 7.504e-01 1.000e+00
1.153e-04 1.398e+09 1.820e-01 1.161e+01 8.041e-01 1.000e+00
1.245e-04 1.424e+09 1.854e-01 1.181e+01 8.599e-01 1.000e+00
1.345e-04 1.452e+09 1.889e-01 1.202e+01 9.176e-01 1.000e+00
1.453e-04 1.481e+09 1.927e-01 1.221e+01 9.773e-01 1.000e+00
1.569e-04 1.512e+09 1.968e-01 1.240e+01 1.039e+00 1.000e+00
1.694e-04 1.545e+09 2.011e-01 1.259e+01 1.101e+00 1.000e+00
1.830e-04 1.581e+09 2.058e-01 1.277e+01 1.165e+00 1.000e+00
1.976e-04 1.619e+09 2.107e-01 1.294e+01 1.230e+00 1.000e+00
2.134e-04 1.660e+09 2.160e-01 1.310e+01 1.296e+00 1.000e+00
2.305e-04 1.704e+09 2.217e-01 1.325e+01 1.362e+00 1.000e+00
2.489e-04 1.750e+09 2.278e-01 1.340e+01 1.429e+00 1.000e+00
2.689e-04 1.800e+09 2.343e-01 1.353e+01 1.495e+00 1.000e+00
2.904e-04 1.854e+09 2.413e-01 1.366e+01 1.561e+00 1.000e+00
3.136e-04 1.912e+09 2.488e-01 1.378e+01 1.626e+00 1.000e+00
3.387e-04 1.973e+09 2.568e-01 1.388e+01 1.690e+00 1.000e+00
3.658e-04 2.040e+09 2.655e-01 1.397e+01 1.753e+00 1.000e+00
3.950e-04 2.111e+09 2.748e-01 1.406e+01 1.814e+00 1.000e+00
4.266e-04 2.188e+09 2.848e-01 1.413e+01 1.874e+00 1.000e+00
4.608e-04 2.270e+09 2.955e-01 1.419e+01 1.931e+00 1.000e+00
4.976e-04 2.359e+09 3.070e-01 1.424e+01 1.986e+00 1.000e+00
5.374e-04 2.455e+09 3.195e-01 1.428e+01 2.038e+00 1.000e+00
5.804e-04 2.557e+09 3.328e-01 1.431e+01 2.087e+00 1.000e+00
6.269e-04 2.668e+09 3.473e-01 1.433e+01 2.134e+00 1.000e+00
6.770e-04 2.787e+09 3.628e-01 1.434e+01 2.177e+00 1.000e+00
7.312e-04 2.916e+09 3.795e-01 1.434e+01 2.218e+00 1.000e+00
7.897e-04 3.054e+09 3.975e-01 1.433e+01 2.254e+00 1.000e+00
8.529e-04 3.204e+09 4.170e-01 1.431e+01 2.288e+00 1.000e+00
9.211e-04 3.365e+09 4.379e-01 1.428e+01 2.318e+00 1.000e+00
9.948e-04 3.539e+09 4.605e-01 1.424e+01 2.345e+00 1.000e+00
1.074e-03 3.726e+09 4.849e-01 1.419e+01 2.369e+00 1.000e+00
1.160e-03 3.928e+09 5.112e-01 1.414e+01 2.389e+00 1.000e+00
1.253e-03 4.146e+09 5.396e-01 1.407e+01 2.406e+00 1.000e+00
1.353e-03 4.381e+09 5.702e-01 1.401e+01 2.420e+00 1.000e+00
1.462e-03 4.635e+09 6.032e-01 1.393e+01 2.431e+00 1.000e+00
1.579e-03 4.909e+09 6.389e-01 1.385e+01 2.438e+00 1.000e+00
1.705e-03 5.205e+09 6.774e-01 1.377e+01 2.443e+00 1.000e+00
1.841e-03 5.524e+09 7.189e-01 1.368e+01 2.446e+00 1.000e+00
1.989e-03 5.869e+09 7.638e-01 1.358e+01 2.445e+00 0.000e+00
2.148e-03 6.241e+09 8.122e-01 1.349e+01 2.442e+00 0.000e+00
2.319e-03 6.642e+09 8.645e-01 1.339e+01 2.437e+00 0.000e+00
2.505e-03 7.076e+09 9.209e-01 1.328e+01 2.430e+00 0.000e+00
2.705e-03 7.544e+09 9.819e-01 1.318e+01 2.421e+00 0.000e+00
2.922e-03 8.050e+09 1.048e+00 1.307e+01 2.409e+00 0.000e+00
3.156e-03 8.595e+09 1.119e+00 1.296e+01 2.397e+00 0.000e+00
3.408e-03 9.185e+09 1.195e+00 1.285e+01 2.382e+00 0.000e+00
3.681e-03 9.821e+09 1.278e+00 1.274e+01 2.366e+00 0.000e+00
3.975e-03 1.051e+10 1.368e+00 1.263e+01 2.349e+00 0.000e+00
4.293e-03 1.125e+10 1.464e+00 1.252e+01 2.331e+00 0.000e+00
4.637e-03 1.205e+10 1.569e+00 1.241e+01 2.311e+00 0.000e+00
5.008e-03 1.292e+10 1.681e+00 1.230e+01 2.291e+00 0.000e+00
5.408e-03 1.385e+10 1.803e+00 1.219e+01 2.270e+00 0.000e+00
5.841e-03 1.486e+10 1.934e+00 1.209e+01 2.249e+00 0.000e+00
6.308e-03 1.595e+10 2.076e+00 1.198e+01 2.226e+00 0.000e+00
6.813e-03 1.713e+10 2.229e+00 1.188e+01 2.204e+00 0.000e+00
7.358e-03 1.840e+10 2.395e+00 1.178e+01 2.181e+00 0.000e+00
7.946e-03 1.977e+10 2.573e+00 1.168e+01 2.157e+00 0.000e+00
8.582e-03 2.125e+10 2.766e+00 1.158e+01 2.134e+00 0.000e+00
9.269e-03 2.286e+10 2.975e+00 1.149e+01 2.111e+00 0.000e+00
1.001e-02 2.459e+10 3.200e+00 1.140e+01 2.087e+00 0.000e+00
1.081e-02 2.645e+10 3.443e+00 1.131e+01 2.064e+00 0.000e+00
1.168e-02 2.847e+10 3.705e+00 1.122e+01 2.040e+00 0.000e+00
1.261e-02 3.065e+10 3.989e+00 1.114e+01 2.017e+00 0.000e+00
1.362e-02 3.300e+10 4.295e+00 1.106e+01 1.995e+00 0.000e+00
1.471e-02 3.554e+10 4.626e+00 1.099e+01 1.972e+00 0.000e+00
1.588e-02 3.828e+10 4.983e+00 1.092e+01 1.950e+00 0.000e+00
1.716e-02 4.125e+10 5.368e+00 1.085e+01 1.929e+00 0.000e+00
1.853e-02 4.445e+10 5.785e+00 1.078e+01 1.907e+00 0.000e+00
2.001e-02 4.790e+10 6.235e+00 1.072e+01 1.887e+00 0.000e+00
2.161e-02 5.164e+10 6.720e+00 1.067e+01 1.867e+00 0.000e+00
2.334e-02 5.567e+10 7.245e+00 1.062e+01 1.848e+00 0.000e+00
2.521e-02 6.002e+10 7.812e+00 1.057e+01 1.829e+00 0.000e+00
2.722e-02 6.472e+10 8.423e+00 1.053e+01 1.811e+00 0.000e+00
