# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=400.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=3.138943658406e+08
# B0_gev_fm3=4.085301464549e-02
# B_mev4=0.000000000000e+00
# B_gev_fm3=0.000000000000e+00
# B_1_4_mev=0.000000
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
1.915e-09 1.423e+06 1.852e-04 4.500e+00 6.312e-05 1.000e+00
2.069e-09 1.496e+06 1.947e-04 1.314e+01 1.603e-03 1.000e+00
2.234e-09 1.575e+06 2.050e-04 1.784e+01 4.094e-03 1.000e+00
2.413e-09 1.661e+06 2.162e-04 2.137e+01 7.185e-03 1.000e+00
2.606e-09 1.755e+06 2.284e-04 2.423e+01 1.070e-02 1.000e+00
2.814e-09 1.857e+06 2.417e-04 2.664e+01 1.453e-02 1.000e+00
3.040e-09 1.969e+06 2.562e-04 2.871e+01 1.860e-02 1.000e+00
3.283e-09 2.090e+06 2.720e-04 3.050e+01 2.281e-02 1.000e+00
3.545e-09 2.221e+06 2.891e-04 3.206e+01 2.710e-02 1.000e+00
3.829e-09 2.364e+06 3.077e-04 3.343e+01 3.145e-02 1.000e+00
4.135e-09 2.519e+06 3.279e-04 3.463e+01 3.579e-02 1.000e+00
4.466e-09 2.687e+06 3.497e-04 3.568e+01 4.008e-02 1.000e+00
4.823e-09 2.868e+06 3.733e-04 3.660e+01 4.431e-02 1.000e+00
5.209e-09 3.063e+06 3.986e-04 3.740e+01 4.843e-02 1.000e+00
5.626e-09 3.271e+06 4.257e-04 3.809e+01 5.242e-02 1.000e+00
6.076e-09 3.493e+06 4.546e-04 3.870e+01 5.632e-02 1.000e+00
6.562e-09 3.728e+06 4.852e-04 3.922e+01 6.008e-02 1.000e+00
7.087e-09 3.975e+06 5.173e-04 3.967e+01 6.373e-02 1.000e+00
7.654e-09 4.232e+06 5.507e-04 4.006e+01 6.727e-02 1.000e+00
