# pipeline=quark_stars
# construction=with_maxwell
# m_sigma_mev=600.000000
# units=chemical potentials and sigma in MeV; densities in fm^-3; pressure and energy density in GeV fm^-3
# B0_mev4=5.806289137042e+08
# B0_gev_fm3=7.556822962283e-02
# B_mev4=6.005214958383e+05
# B_gev_fm3=7.815722782636e-05
# B_1_4_mev=27.837622
# B_min_mev4=6.005214958383e+05
# B_min_gev_fm3=7.815722782636e-05
# B_min_1_4_mev=27.837622
# columns=mu_u_mev mu_d_mev mu_e_mev sigma_mev constituent_mass_mev n_u_fm-3 n_d_fm-3 n_e_fm-3 n_B_fm-3 pressure_gev_fm-3 energy_density_gev_fm-3
3.019e+02 3.034e+02 1.433e+00 9.284e+01 2.995e+02 7.480e-04 1.496e-03 1.054e-08 7.480e-04 -7.569e-05 7.553e-04
3.028e+02 3.050e+02 2.225e+00 9.268e+01 2.990e+02 1.457e-03 2.915e-03 4.467e-08 1.457e-03 -7.112e-05 1.402e-03
3.035e+02 3.064e+02 2.892e+00 9.253e+01 2.985e+02 2.170e-03 4.339e-03 1.014e-07 2.170e-03 -6.512e-05 2.053e-03
3.040e+02 3.075e+02 3.486e+00 9.238e+01 2.980e+02 2.884e-03 5.768e-03 1.803e-07 2.884e-03 -5.800e-05 2.708e-03
3.045e+02 3.085e+02 4.032e+00 9.222e+01 2.975e+02 3.600e-03 7.200e-03 2.812e-07 3.600e-03 -4.995e-05 3.368e-03
3.049e+02 3.094e+02 4.542e+00 9.207e+01 2.970e+02 4.319e-03 8.636e-03 4.040e-07 4.318e-03 -4.110e-05 4.030e-03
3.052e+02 3.103e+02 5.023e+00 9.191e+01 2.965e+02 5.038e-03 1.007e-02 5.485e-07 5.038e-03 -3.155e-05 4.695e-03
3.056e+02 3.111e+02 5.482e+00 9.176e+01 2.960e+02 5.759e-03 1.152e-02 7.146e-07 5.758e-03 -2.138e-05 5.363e-03
3.059e+02 3.118e+02 5.921e+00 9.161e+01 2.955e+02 6.481e-03 1.296e-02 9.022e-07 6.480e-03 -1.065e-05 6.034e-03
3.061e+02 3.125e+02 6.343e+00 9.145e+01 2.950e+02 7.205e-03 1.441e-02 1.111e-06 7.204e-03 5.755e-07 6.707e-03
3.064e+02 3.131e+02 6.752e+00 9.130e+01 2.945e+02 7.929e-03 1.585e-02 1.341e-06 7.928e-03 1.226e-05 7.381e-03
3.066e+02 3.137e+02 7.148e+00 9.115e+01 2.940e+02 8.655e-03 1.730e-02 1.593e-06 8.653e-03 2.435e-05 8.058e-03
3.068e+02 3.143e+02 7.532e+00 9.099e+01 2.935e+02 9.381e-03 1.876e-02 1.866e-06 9.379e-03 3.682e-05 8.737e-03
3.070e+02 3.149e+02 7.907e+00 9.084e+01 2.930e+02 1.011e-02 2.021e-02 2.159e-06 1.011e-02 4.964e-05 9.418e-03
3.072e+02 3.154e+02 8.272e+00 9.069e+01 2.925e+02 1.084e-02 2.167e-02 2.474e-06 1.083e-02 6.278e-05 1.010e-02
3.073e+02 3.160e+02 8.630e+00 9.053e+01 2.920e+02 1.157e-02 2.312e-02 2.810e-06 1.156e-02 7.621e-05 1.078e-02
3.075e+02 3.165e+02 8.979e+00 9.038e+01 2.915e+02 1.230e-02 2.458e-02 3.167e-06 1.229e-02 8.991e-05 1.147e-02
3.076e+02 3.169e+02 9.322e+00 9.022e+01 2.910e+02 1.303e-02 2.604e-02 3.545e-06 1.302e-02 1.039e-04 1.216e-02
3.077e+02 3.174e+02 9.658e+00 9.007e+01 2.906e+02 1.376e-02 2.750e-02 3.943e-06 1.375e-02 1.181e-04 1.285e-02
3.079e+02 3.179e+02 9.988e+00 8.992e+01 2.901e+02 1.449e-02 2.897e-02 4.363e-06 1.449e-02 1.324e-04 1.354e-02
3.080e+02 3.183e+02 1.031e+01 8.976e+01 2.896e+02 1.522e-02 3.043e-02 4.803e-06 1.522e-02 1.470e-04 1.423e-02
3.081e+02 3.187e+02 1.063e+01 8.961e+01 2.891e+02 1.596e-02 3.189e-02 5.264e-06 1.595e-02 1.618e-04 1.492e-02
3.082e+02 3.191e+02 1.095e+01 8.946e+01 2.886e+02 1.669e-02 3.336e-02 5.746e-06 1.668e-02 1.768e-04 1.561e-02
3.083e+02 3.195e+02 1.126e+01 8.930e+01 2.881e+02 1.742e-02 3.483e-02 6.248e-06 1.742e-02 1.919e-04 1.631e-02
3.083e+02 3.199e+02 1.156e+01 8.915e+01 2.876e+02 1.816e-02 3.630e-02 6.771e-06 1.815e-02 2.071e-04 1.700e-02
3.084e+02 3.203e+02 1.186e+01 8.899e+01 2.871e+02 1.889e-02 3.776e-02 7.315e-06 1.889e-02 2.225e-04 1.770e-02
3.085e+02 3.207e+02 1.216e+01 8.884e+01 2.866e+02 1.963e-02 3.923e-02 7.880e-06 1.962e-02 2.380e-04 1.840e-02
3.086e+02 3.210e+02 1.245e+01 8.869e+01 2.861e+02 2.036e-02 4.070e-02 8.465e-06 2.036e-02 2.536e-04 1.910e-02
3.086e+02 3.214e+02 1.274e+01 8.853e+01 2.856e+02 2.110e-02 4.218e-02 9.070e-06 2.109e-02 2.693e-04 1.980e-02
3.087e+02 3.217e+02 1.303e+01 8.838e+01 2.851e+02 2.184e-02 4.365e-02 9.697e-06 2.183e-02 2.851e-04 2.050e-02
3.087e+02 3.220e+02 1.331e+01 8.823e+01 2.846e+02 2.258e-02 4.512e-02 1.034e-05 2.257e-02 3.010e-04 2.120e-02
3.088e+02 3.224e+02 1.359e+01 8.807e+01 2.841e+02 2.331e-02 4.659e-02 1.101e-05 2.330e-02 3.170e-04 2.190e-02
3.088e+02 3.227e+02 1.387e+01 8.792e+01 2.836e+02 2.405e-02 4.807e-02 1.170e-05 2.404e-02 3.330e-04 2.260e-02
3.088e+02 3.230e+02 1.414e+01 8.777e+01 2.831e+02 2.479e-02 4.954e-02 1.241e-05 2.478e-02 3.491e-04 2.331e-02
3.089e+02 3.233e+02 1.441e+01 8.761e+01 2.826e+02 2.553e-02 5.102e-02 1.314e-05 2.552e-02 3.653e-04 2.401e-02
3.089e+02 3.236e+02 1.468e+01 8.746e+01 2.821e+02 2.627e-02 5.249e-02 1.388e-05 2.625e-02 3.815e-04 2.472e-02
3.089e+02 3.239e+02 1.495e+01 8.730e+01 2.816e+02 2.701e-02 5.397e-02 1.465e-05 2.699e-02 3.978e-04 2.543e-02
3.090e+02 3.242e+02 1.521e+01 8.715e+01 2.811e+02 2.775e-02 5.545e-02 1.544e-05 2.773e-02 4.140e-04 2.613e-02
3.090e+02 3.244e+02 1.547e+01 8.700e+01 2.806e+02 2.849e-02 5.692e-02 1.626e-05 2.847e-02 4.304e-04 2.684e-02
3.090e+02 3.247e+02 1.573e+01 8.684e+01 2.801e+02 2.923e-02 5.840e-02 1.709e-05 2.921e-02 4.467e-04 2.755e-02
3.090e+02 3.250e+02 1.599e+01 8.669e+01 2.796e+02 2.997e-02 5.988e-02 1.794e-05 2.995e-02 4.631e-04 2.826e-02
3.090e+02 3.253e+02 1.624e+01 8.654e+01 2.791e+02 3.071e-02 6.136e-02 1.881e-05 3.069e-02 4.795e-04 2.897e-02
3.090e+02 3.255e+02 1.650e+01 8.638e+01 2.787e+02 3.145e-02 6.284e-02 1.970e-05 3.143e-02 4.959e-04 2.968e-02
3.090e+02 3.258e+02 1.675e+01 8.623e+01 2.782e+02 3.219e-02 6.431e-02 2.061e-05 3.217e-02 5.124e-04 3.039e-02
3.090e+02 3.260e+02 1.699e+01 8.607e+01 2.777e+02 3.293e-02 6.579e-02 2.155e-05 3.291e-02 5.288e-04 3.110e-02
3.090e+02 3.263e+02 1.724e+01 8.592e+01 2.772e+02 3.367e-02 6.727e-02 2.250e-05 3.365e-02 5.452e-04 3.181e-02
3.090e+02 3.265e+02 1.749e+01 8.577e+01 2.767e+02 3.441e-02 6.875e-02 2.347e-05 3.439e-02 5.617e-04 3.252e-02
2.938e+02 3.564e+02 6.265e+01 3.935e+01 1.269e+02 2.451e-01 4.870e-01 1.081e-03 2.441e-01 6.053e-03 2.396e-01
2.938e+02 3.565e+02 6.275e+01 3.920e+01 1.264e+02 2.458e-01 4.883e-01 1.086e-03 2.447e-01 6.102e-03 2.403e-01
2.938e+02 3.566e+02 6.285e+01 3.905e+01 1.260e+02 2.465e-01 4.896e-01 1.091e-03 2.454e-01 6.152e-03 2.409e-01
2.938e+02 3.567e+02 6.295e+01 3.889e+01 1.255e+02 2.471e-01 4.909e-01 1.096e-03 2.460e-01 6.203e-03 2.416e-01
2.938e+02 3.568e+02 6.305e+01 3.874e+01 1.250e+02 2.478e-01 4.923e-01 1.102e-03 2.467e-01 6.254e-03 2.422e-01
2.938e+02 3.569e+02 6.315e+01 3.858e+01 1.245e+02 2.484e-01 4.936e-01 1.107e-03 2.473e-01 6.306e-03 2.429e-01
2.938e+02 3.570e+02 6.325e+01 3.843e+01 1.240e+02 2.491e-01 4.949e-01 1.112e-03 2.480e-01 6.358e-03 2.436e-01
2.938e+02 3.571e+02 6.335e+01 3.828e+01 1.235e+02 2.498e-01 4.962e-01 1.117e-03 2.486e-01 6.412e-03 2.442e-01
