# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=400.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=3.138943658406e+08
# B0_gev_fm3=4.085301464549e-02
# B_mev4=1.919841253022e+08
# B_gev_fm3=2.498652775009e-02
# B_1_4_mev=117.710805
# B_min_mev4=1.345975290658e+08
# B_min_gev_fm3=1.751772387328e-02
# B_min_1_4_mev=107.710805
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
6.563e-06 1.954e+09 2.543e-01 1.930e+00 6.828e-03 1.000e+00
7.088e-06 1.955e+09 2.545e-01 2.000e+00 7.600e-03 1.000e+00
7.655e-06 1.957e+09 2.547e-01 2.080e+00 8.552e-03 1.000e+00
8.267e-06 1.958e+09 2.549e-01 2.150e+00 9.448e-03 1.000e+00
8.929e-06 1.960e+09 2.551e-01 2.240e+00 1.069e-02 1.000e+00
9.643e-06 1.962e+09 2.553e-01 2.320e+00 1.188e-02 1.000e+00
1.041e-05 1.964e+09 2.556e-01 2.410e+00 1.332e-02 1.000e+00
1.125e-05 1.966e+09 2.558e-01 2.500e+00 1.488e-02 1.000e+00
1.215e-05 1.968e+09 2.561e-01 2.600e+00 1.674e-02 1.000e+00
1.312e-05 1.970e+09 2.565e-01 2.690e+00 1.855e-02 1.000e+00
1.417e-05 1.973e+09 2.568e-01 2.790e+00 2.071e-02 1.000e+00
1.530e-05 1.976e+09 2.572e-01 2.900e+00 2.327e-02 1.000e+00
1.653e-05 1.979e+09 2.576e-01 3.010e+00 2.603e-02 1.000e+00
1.785e-05 1.982e+09 2.580e-01 3.120e+00 2.901e-02 1.000e+00
1.928e-05 1.986e+09 2.585e-01 3.230e+00 3.222e-02 1.000e+00
2.082e-05 1.990e+09 2.590e-01 3.350e+00 3.597e-02 1.000e+00
2.248e-05 1.994e+09 2.595e-01 3.470e+00 4.001e-02 1.000e+00
2.428e-05 1.998e+09 2.601e-01 3.600e+00 4.471e-02 1.000e+00
2.623e-05 2.003e+09 2.607e-01 3.730e+00 4.978e-02 1.000e+00
2.832e-05 2.009e+09 2.614e-01 3.870e+00 5.566e-02 1.000e+00
3.059e-05 2.014e+09 2.621e-01 4.000e+00 6.153e-02 1.000e+00
3.304e-05 2.020e+09 2.629e-01 4.150e+00 6.879e-02 1.000e+00
3.568e-05 2.027e+09 2.638e-01 4.290e+00 7.610e-02 1.000e+00
3.853e-05 2.034e+09 2.647e-01 4.440e+00 8.448e-02 1.000e+00
4.162e-05 2.042e+09 2.657e-01 4.590e+00 9.348e-02 1.000e+00
4.495e-05 2.050e+09 2.668e-01 4.750e+00 1.038e-01 1.000e+00
4.854e-05 2.059e+09 2.680e-01 4.910e+00 1.148e-01 1.000e+00
5.243e-05 2.069e+09 2.692e-01 5.080e+00 1.274e-01 1.000e+00
5.662e-05 2.079e+09 2.706e-01 5.250e+00 1.409e-01 1.000e+00
6.115e-05 2.090e+09 2.720e-01 5.420e+00 1.554e-01 1.000e+00
6.604e-05 2.102e+09 2.736e-01 5.590e+00 1.708e-01 1.000e+00
7.132e-05 2.115e+09 2.753e-01 5.770e+00 1.883e-01 1.000e+00
7.703e-05 2.129e+09 2.771e-01 5.950e+00 2.071e-01 1.000e+00
8.319e-05 2.145e+09 2.791e-01 6.130e+00 2.271e-01 1.000e+00
8.985e-05 2.161e+09 2.813e-01 6.320e+00 2.496e-01 1.000e+00
9.704e-05 2.179e+09 2.835e-01 6.510e+00 2.737e-01 1.000e+00
1.048e-04 2.198e+09 2.860e-01 6.700e+00 2.994e-01 1.000e+00
1.132e-04 2.218e+09 2.887e-01 6.890e+00 3.268e-01 1.000e+00
1.222e-04 2.240e+09 2.916e-01 7.080e+00 3.560e-01 1.000e+00
1.320e-04 2.264e+09 2.947e-01 7.270e+00 3.871e-01 1.000e+00
1.426e-04 2.290e+09 2.980e-01 7.460e+00 4.202e-01 1.000e+00
1.540e-04 2.318e+09 3.016e-01 7.650e+00 4.553e-01 1.000e+00
1.663e-04 2.348e+09 3.055e-01 7.840e+00 4.926e-01 1.000e+00
1.796e-04 2.380e+09 3.097e-01 8.030e+00 5.321e-01 1.000e+00
1.940e-04 2.415e+09 3.143e-01 8.220e+00 5.740e-01 1.000e+00
2.095e-04 2.452e+09 3.191e-01 8.400e+00 6.164e-01 1.000e+00
2.263e-04 2.493e+09 3.244e-01 8.580e+00 6.611e-01 1.000e+00
2.444e-04 2.536e+09 3.301e-01 8.760e+00 7.084e-01 1.000e+00
2.639e-04 2.583e+09 3.362e-01 8.930e+00 7.560e-01 1.000e+00
2.850e-04 2.634e+09 3.428e-01 9.100e+00 8.061e-01 1.000e+00
3.078e-04 2.688e+09 3.499e-01 9.260e+00 8.563e-01 1.000e+00
3.324e-04 2.747e+09 3.575e-01 9.420e+00 9.090e-01 1.000e+00
3.590e-04 2.811e+09 3.658e-01 9.560e+00 9.590e-01 1.000e+00
3.878e-04 2.879e+09 3.747e-01 9.710e+00 1.014e+00 1.000e+00
4.188e-04 2.953e+09 3.843e-01 9.840e+00 1.066e+00 1.000e+00
4.523e-04 3.032e+09 3.947e-01 9.970e+00 1.120e+00 1.000e+00
4.885e-04 3.118e+09 4.058e-01 1.009e+01 1.174e+00 1.000e+00
5.275e-04 3.211e+09 4.179e-01 1.020e+01 1.226e+00 1.000e+00
5.697e-04 3.311e+09 4.309e-01 1.030e+01 1.278e+00 1.000e+00
6.153e-04 3.418e+09 4.449e-01 1.039e+01 1.328e+00 1.000e+00
6.645e-04 3.534e+09 4.600e-01 1.047e+01 1.377e+00 1.000e+00
7.177e-04 3.660e+09 4.763e-01 1.055e+01 1.427e+00 1.000e+00
7.751e-04 3.795e+09 4.939e-01 1.061e+01 1.472e+00 1.000e+00
8.371e-04 3.941e+09 5.129e-01 1.067e+01 1.518e+00 1.000e+00
9.041e-04 4.098e+09 5.334e-01 1.071e+01 1.558e+00 1.000e+00
9.764e-04 4.268e+09 5.555e-01 1.075e+01 1.600e+00 1.000e+00
1.055e-03 4.452e+09 5.794e-01 1.078e+01 1.638e+00 1.000e+00
1.139e-03 4.650e+09 6.051e-01 1.080e+01 1.674e+00 1.000e+00
1.230e-03 4.863e+09 6.329e-01 1.081e+01 1.707e+00 1.000e+00
1.328e-03 5.094e+09 6.629e-01 1.081e+01 1.736e+00 1.000e+00
1.435e-03 5.343e+09 6.953e-01 1.080e+01 1.762e+00 1.000e+00
1.549e-03 5.611e+09 7.303e-01 1.079e+01 1.788e+00 1.000e+00
1.673e-03 5.901e+09 7.681e-01 1.077e+01 1.810e+00 1.000e+00
1.807e-03 6.214e+09 8.088e-01 1.074e+01 1.828e+00 1.000e+00
1.952e-03 6.553e+09 8.528e-01 1.071e+01 1.846e+00 1.000e+00
2.108e-03 6.918e+09 9.003e-01 1.067e+01 1.860e+00 1.000e+00
2.277e-03 7.312e+09 9.516e-01 1.062e+01 1.870e+00 1.000e+00
2.459e-03 7.737e+09 1.007e+00 1.057e+01 1.879e+00 1.000e+00
2.656e-03 8.197e+09 1.067e+00 1.052e+01 1.888e+00 1.000e+00
2.868e-03 8.693e+09 1.131e+00 1.046e+01 1.892e+00 1.000e+00
3.097e-03 9.228e+09 1.201e+00 1.039e+01 1.892e+00 1.000e+00
3.345e-03 9.807e+09 1.276e+00 1.032e+01 1.892e+00 0.000e+00
3.613e-03 1.043e+10 1.358e+00 1.025e+01 1.890e+00 0.000e+00
3.902e-03 1.111e+10 1.445e+00 1.018e+01 1.887e+00 0.000e+00
4.214e-03 1.183e+10 1.540e+00 1.010e+01 1.881e+00 0.000e+00
4.551e-03 1.262e+10 1.643e+00 1.002e+01 1.873e+00 0.000e+00
4.915e-03 1.347e+10 1.753e+00 9.940e+00 1.865e+00 0.000e+00
5.308e-03 1.439e+10 1.873e+00 9.860e+00 1.855e+00 0.000e+00
5.733e-03 1.538e+10 2.001e+00 9.780e+00 1.845e+00 0.000e+00
6.192e-03 1.645e+10 2.141e+00 9.700e+00 1.833e+00 0.000e+00
6.687e-03 1.760e+10 2.291e+00 9.620e+00 1.821e+00 0.000e+00
7.222e-03 1.885e+10 2.453e+00 9.530e+00 1.805e+00 0.000e+00
7.800e-03 2.020e+10 2.629e+00 9.450e+00 1.791e+00 0.000e+00
8.424e-03 2.165e+10 2.818e+00 9.370e+00 1.776e+00 0.000e+00
9.098e-03 2.323e+10 3.023e+00 9.280e+00 1.758e+00 0.000e+00
9.826e-03 2.492e+10 3.244e+00 9.200e+00 1.741e+00 0.000e+00
1.061e-02 2.676e+10 3.482e+00 9.120e+00 1.724e+00 0.000e+00
1.146e-02 2.874e+10 3.740e+00 9.040e+00 1.706e+00 0.000e+00
1.238e-02 3.087e+10 4.018e+00 8.970e+00 1.690e+00 0.000e+00
1.337e-02 3.318e+10 4.319e+00 8.890e+00 1.671e+00 0.000e+00
1.444e-02 3.568e+10 4.643e+00 8.820e+00 1.654e+00 0.000e+00
1.559e-02 3.837e+10 4.994e+00 8.740e+00 1.634e+00 0.000e+00
1.684e-02 4.128e+10 5.372e+00 8.670e+00 1.616e+00 0.000e+00
1.819e-02 4.442e+10 5.781e+00 8.610e+00 1.599e+00 0.000e+00
1.964e-02 4.781e+10 6.223e+00 8.540e+00 1.580e+00 0.000e+00
2.121e-02 5.147e+10 6.699e+00 8.480e+00 1.563e+00 0.000e+00
2.291e-02 5.543e+10 7.214e+00 8.420e+00 1.545e+00 0.000e+00
2.474e-02 5.970e+10 7.771e+00 8.360e+00 1.528e+00 0.000e+00
2.672e-02 6.432e+10 8.371e+00 8.300e+00 1.510e+00 0.000e+00
