# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=400.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=3.138943658406e+08
# B0_gev_fm3=4.085301464549e-02
# B_mev4=1.345975290658e+08
# B_gev_fm3=1.751772387328e-02
# B_1_4_mev=107.710805
# B_min_mev4=1.345975290658e+08
# B_min_gev_fm3=1.751772387328e-02
# B_min_1_4_mev=107.710805
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
2.135e-06 1.696e+09 2.207e-01 1.270e+00 1.694e-03 1.000e+00
2.306e-06 1.696e+09 2.207e-01 1.320e+00 1.902e-03 1.000e+00
2.490e-06 1.697e+09 2.208e-01 1.370e+00 2.126e-03 1.000e+00
2.690e-06 1.697e+09 2.209e-01 1.420e+00 2.368e-03 1.000e+00
2.905e-06 1.698e+09 2.209e-01 1.480e+00 2.681e-03 1.000e+00
3.137e-06 1.698e+09 2.210e-01 1.530e+00 2.963e-03 1.000e+00
3.388e-06 1.699e+09 2.211e-01 1.590e+00 3.326e-03 1.000e+00
3.659e-06 1.700e+09 2.212e-01 1.650e+00 3.718e-03 1.000e+00
3.952e-06 1.700e+09 2.213e-01 1.720e+00 4.212e-03 1.000e+00
4.268e-06 1.701e+09 2.214e-01 1.780e+00 4.669e-03 1.000e+00
4.610e-06 1.702e+09 2.215e-01 1.850e+00 5.243e-03 1.000e+00
4.978e-06 1.703e+09 2.217e-01 1.920e+00 5.862e-03 1.000e+00
5.377e-06 1.704e+09 2.218e-01 2.000e+00 6.627e-03 1.000e+00
5.807e-06 1.705e+09 2.219e-01 2.080e+00 7.457e-03 1.000e+00
6.271e-06 1.706e+09 2.221e-01 2.150e+00 8.238e-03 1.000e+00
6.773e-06 1.708e+09 2.223e-01 2.240e+00 9.319e-03 1.000e+00
7.315e-06 1.709e+09 2.224e-01 2.320e+00 1.036e-02 1.000e+00
7.900e-06 1.711e+09 2.226e-01 2.410e+00 1.161e-02 1.000e+00
8.532e-06 1.712e+09 2.229e-01 2.500e+00 1.297e-02 1.000e+00
9.215e-06 1.714e+09 2.231e-01 2.600e+00 1.459e-02 1.000e+00
9.952e-06 1.716e+09 2.233e-01 2.690e+00 1.617e-02 1.000e+00
1.075e-05 1.718e+09 2.236e-01 2.800e+00 1.824e-02 1.000e+00
1.161e-05 1.720e+09 2.239e-01 2.900e+00 2.028e-02 1.000e+00
1.254e-05 1.723e+09 2.242e-01 3.010e+00 2.269e-02 1.000e+00
1.354e-05 1.725e+09 2.246e-01 3.120e+00 2.529e-02 1.000e+00
1.462e-05 1.728e+09 2.249e-01 3.240e+00 2.834e-02 1.000e+00
1.579e-05 1.731e+09 2.253e-01 3.360e+00 3.162e-02 1.000e+00
1.706e-05 1.735e+09 2.258e-01 3.480e+00 3.516e-02 1.000e+00
1.842e-05 1.738e+09 2.262e-01 3.610e+00 3.928e-02 1.000e+00
1.989e-05 1.742e+09 2.267e-01 3.740e+00 4.372e-02 1.000e+00
2.149e-05 1.746e+09 2.273e-01 3.880e+00 4.886e-02 1.000e+00
2.320e-05 1.751e+09 2.278e-01 4.020e+00 5.440e-02 1.000e+00
2.506e-05 1.755e+09 2.285e-01 4.160e+00 6.035e-02 1.000e+00
2.707e-05 1.761e+09 2.291e-01 4.310e+00 6.720e-02 1.000e+00
2.923e-05 1.766e+09 2.299e-01 4.460e+00 7.456e-02 1.000e+00
3.157e-05 1.772e+09 2.307e-01 4.620e+00 8.298e-02 1.000e+00
3.409e-05 1.779e+09 2.315e-01 4.780e+00 9.204e-02 1.000e+00
3.682e-05 1.786e+09 2.324e-01 4.940e+00 1.018e-01 1.000e+00
3.977e-05 1.793e+09 2.334e-01 5.110e+00 1.128e-01 1.000e+00
4.295e-05 1.801e+09 2.345e-01 5.290e+00 1.254e-01 1.000e+00
4.639e-05 1.810e+09 2.356e-01 5.460e+00 1.382e-01 1.000e+00
5.010e-05 1.820e+09 2.368e-01 5.640e+00 1.526e-01 1.000e+00
5.410e-05 1.830e+09 2.382e-01 5.830e+00 1.689e-01 1.000e+00
5.843e-05 1.841e+09 2.396e-01 6.010e+00 1.855e-01 1.000e+00
6.311e-05 1.853e+09 2.411e-01 6.200e+00 2.042e-01 1.000e+00
6.816e-05 1.866e+09 2.428e-01 6.400e+00 2.252e-01 1.000e+00
7.361e-05 1.879e+09 2.446e-01 6.590e+00 2.466e-01 1.000e+00
7.950e-05 1.894e+09 2.465e-01 6.790e+00 2.706e-01 1.000e+00
8.586e-05 1.910e+09 2.486e-01 6.990e+00 2.962e-01 1.000e+00
9.273e-05 1.928e+09 2.509e-01 7.190e+00 3.235e-01 1.000e+00
1.001e-04 1.946e+09 2.533e-01 7.390e+00 3.527e-01 1.000e+00
1.082e-04 1.966e+09 2.559e-01 7.600e+00 3.851e-01 1.000e+00
1.168e-04 1.988e+09 2.587e-01 7.800e+00 4.182e-01 1.000e+00
1.262e-04 2.011e+09 2.617e-01 8.010e+00 4.550e-01 1.000e+00
1.362e-04 2.036e+09 2.650e-01 8.210e+00 4.924e-01 1.000e+00
1.471e-04 2.063e+09 2.685e-01 8.410e+00 5.321e-01 1.000e+00
1.589e-04 2.092e+09 2.723e-01 8.610e+00 5.742e-01 1.000e+00
1.716e-04 2.123e+09 2.763e-01 8.810e+00 6.187e-01 1.000e+00
1.854e-04 2.157e+09 2.807e-01 9.000e+00 6.639e-01 1.000e+00
2.002e-04 2.193e+09 2.854e-01 9.190e+00 7.116e-01 1.000e+00
2.162e-04 2.232e+09 2.905e-01 9.380e+00 7.619e-01 1.000e+00
2.335e-04 2.274e+09 2.960e-01 9.560e+00 8.127e-01 1.000e+00
2.522e-04 2.319e+09 3.019e-01 9.740e+00 8.662e-01 1.000e+00
2.724e-04 2.368e+09 3.082e-01 9.910e+00 9.199e-01 1.000e+00
2.941e-04 2.421e+09 3.151e-01 1.007e+01 9.738e-01 1.000e+00
3.177e-04 2.477e+09 3.224e-01 1.023e+01 1.030e+00 1.000e+00
3.431e-04 2.538e+09 3.304e-01 1.038e+01 1.087e+00 1.000e+00
3.705e-04 2.604e+09 3.389e-01 1.052e+01 1.143e+00 1.000e+00
4.002e-04 2.675e+09 3.482e-01 1.066e+01 1.201e+00 1.000e+00
4.322e-04 2.752e+09 3.581e-01 1.078e+01 1.256e+00 1.000e+00
4.668e-04 2.834e+09 3.688e-01 1.089e+01 1.310e+00 1.000e+00
5.041e-04 2.923e+09 3.804e-01 1.100e+01 1.367e+00 1.000e+00
5.444e-04 3.018e+09 3.928e-01 1.110e+01 1.421e+00 1.000e+00
5.880e-04 3.122e+09 4.063e-01 1.118e+01 1.472e+00 1.000e+00
6.350e-04 3.233e+09 4.208e-01 1.126e+01 1.524e+00 1.000e+00
6.858e-04 3.353e+09 4.364e-01 1.133e+01 1.574e+00 1.000e+00
7.407e-04 3.482e+09 4.532e-01 1.138e+01 1.619e+00 1.000e+00
8.000e-04 3.622e+09 4.714e-01 1.143e+01 1.664e+00 1.000e+00
8.639e-04 3.773e+09 4.910e-01 1.147e+01 1.708e+00 1.000e+00
9.331e-04 3.935e+09 5.122e-01 1.150e+01 1.748e+00 1.000e+00
1.008e-03 4.111e+09 5.350e-01 1.152e+01 1.786e+00 1.000e+00
1.088e-03 4.300e+09 5.597e-01 1.153e+01 1.820e+00 1.000e+00
1.175e-03 4.505e+09 5.863e-01 1.153e+01 1.852e+00 1.000e+00
1.269e-03 4.725e+09 6.150e-01 1.152e+01 1.880e+00 1.000e+00
1.371e-03 4.963e+09 6.459e-01 1.150e+01 1.904e+00 1.000e+00
1.481e-03 5.220e+09 6.794e-01 1.148e+01 1.928e+00 1.000e+00
1.599e-03 5.497e+09 7.155e-01 1.145e+01 1.949e+00 1.000e+00
1.727e-03 5.797e+09 7.544e-01 1.141e+01 1.965e+00 1.000e+00
1.865e-03 6.120e+09 7.965e-01 1.137e+01 1.981e+00 1.000e+00
2.014e-03 6.469e+09 8.419e-01 1.132e+01 1.993e+00 1.000e+00
2.176e-03 6.845e+09 8.909e-01 1.127e+01 2.003e+00 1.000e+00
2.350e-03 7.252e+09 9.438e-01 1.121e+01 2.010e+00 1.000e+00
2.538e-03 7.691e+09 1.001e+00 1.114e+01 2.013e+00 1.000e+00
2.741e-03 8.165e+09 1.063e+00 1.107e+01 2.015e+00 1.000e+00
2.960e-03 8.677e+09 1.129e+00 1.100e+01 2.015e+00 1.000e+00
3.197e-03 9.230e+09 1.201e+00 1.092e+01 2.012e+00 0.000e+00
3.452e-03 9.827e+09 1.279e+00 1.084e+01 2.008e+00 0.000e+00
3.729e-03 1.047e+10 1.363e+00 1.076e+01 2.002e+00 0.000e+00
4.027e-03 1.117e+10 1.453e+00 1.068e+01 1.996e+00 0.000e+00
4.349e-03 1.192e+10 1.551e+00 1.059e+01 1.985e+00 0.000e+00
4.697e-03 1.273e+10 1.657e+00 1.051e+01 1.976e+00 0.000e+00
5.073e-03 1.361e+10 1.771e+00 1.042e+01 1.964e+00 0.000e+00
5.478e-03 1.455e+10 1.894e+00 1.033e+01 1.950e+00 0.000e+00
5.917e-03 1.558e+10 2.027e+00 1.024e+01 1.936e+00 0.000e+00
6.390e-03 1.668e+10 2.171e+00 1.015e+01 1.920e+00 0.000e+00
6.901e-03 1.787e+10 2.326e+00 1.006e+01 1.904e+00 0.000e+00
