# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=500.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=4.033789244638e+08
# B0_gev_fm3=5.249933385925e-02
# B_mev4=0.000000000000e+00
# B_gev_fm3=0.000000000000e+00
# B_1_4_mev=0.000000
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
7.131e-09 2.696e+06 3.509e-04 4.570e+00 1.253e-04 1.000e+00
7.702e-09 2.830e+06 3.683e-04 1.337e+01 3.198e-03 1.000e+00
8.318e-09 2.972e+06 3.868e-04 1.817e+01 8.186e-03 1.000e+00
8.983e-09 3.123e+06 4.065e-04 2.179e+01 1.440e-02 1.000e+00
9.702e-09 3.285e+06 4.275e-04 2.476e+01 2.156e-02 1.000e+00
1.048e-08 3.457e+06 4.499e-04 2.729e+01 2.947e-02 1.000e+00
1.132e-08 3.640e+06 4.737e-04 2.949e+01 3.797e-02 1.000e+00
1.222e-08 3.834e+06 4.989e-04 3.143e+01 4.696e-02 1.000e+00
1.320e-08 4.040e+06 5.258e-04 3.317e+01 5.638e-02 1.000e+00
1.426e-08 4.258e+06 5.542e-04 3.472e+01 6.608e-02 1.000e+00
1.540e-08 4.489e+06 5.842e-04 3.612e+01 7.604e-02 1.000e+00
1.663e-08 4.733e+06 6.160e-04 3.739e+01 8.623e-02 1.000e+00
1.796e-08 4.991e+06 6.496e-04 3.855e+01 9.663e-02 1.000e+00
1.939e-08 5.264e+06 6.851e-04 3.960e+01 1.071e-01 1.000e+00
2.095e-08 5.551e+06 7.225e-04 4.056e+01 1.177e-01 1.000e+00
2.262e-08 5.854e+06 7.619e-04 4.143e+01 1.284e-01 1.000e+00
2.443e-08 6.173e+06 8.034e-04 4.222e+01 1.391e-01 1.000e+00
2.639e-08 6.509e+06 8.472e-04 4.295e+01 1.498e-01 1.000e+00
2.850e-08 6.864e+06 8.934e-04 4.361e+01 1.606e-01 1.000e+00
3.078e-08 7.239e+06 9.421e-04 4.422e+01 1.714e-01 1.000e+00
3.324e-08 7.636e+06 9.938e-04 4.476e+01 1.821e-01 1.000e+00
3.590e-08 8.057e+06 1.049e-03 4.526e+01 1.928e-01 1.000e+00
3.877e-08 8.506e+06 1.107e-03 4.570e+01 2.034e-01 1.000e+00
4.187e-08 8.984e+06 1.169e-03 4.610e+01 2.139e-01 1.000e+00
4.522e-08 9.491e+06 1.235e-03 4.646e+01 2.243e-01 1.000e+00
4.884e-08 1.003e+07 1.305e-03 4.677e+01 2.345e-01 1.000e+00
5.275e-08 1.060e+07 1.380e-03 4.704e+01 2.446e-01 1.000e+00
5.696e-08 1.121e+07 1.459e-03 4.727e+01 2.544e-01 1.000e+00
6.152e-08 1.186e+07 1.544e-03 4.746e+01 2.640e-01 1.000e+00
6.644e-08 1.255e+07 1.634e-03 4.762e+01 2.735e-01 1.000e+00
7.176e-08 1.329e+07 1.730e-03 4.775e+01 2.827e-01 1.000e+00
7.750e-08 1.408e+07 1.832e-03 4.784e+01 2.916e-01 1.000e+00
8.370e-08 1.492e+07 1.941e-03 4.791e+01 3.004e-01 1.000e+00
9.040e-08 1.581e+07 2.058e-03 4.794e+01 3.087e-01 1.000e+00
9.763e-08 1.678e+07 2.183e-03 4.795e+01 3.168e-01 1.000e+00
1.054e-07 1.781e+07 2.317e-03 4.793e+01 3.246e-01 1.000e+00
1.139e-07 1.891e+07 2.461e-03 4.789e+01 3.321e-01 1.000e+00
1.230e-07 2.010e+07 2.616e-03 4.782e+01 3.392e-01 1.000e+00
1.328e-07 2.138e+07 2.783e-03 4.772e+01 3.458e-01 1.000e+00
1.434e-07 2.277e+07 2.964e-03 4.761e+01 3.521e-01 1.000e+00
1.549e-07 2.423e+07 3.154e-03 4.747e+01 3.580e-01 1.000e+00
1.673e-07 2.585e+07 3.365e-03 4.732e+01 3.636e-01 1.000e+00
1.807e-07 2.777e+07 3.614e-03 4.714e+01 3.685e-01 1.000e+00
1.952e-07 2.920e+07 3.800e-03 4.695e+01 3.730e-01 1.000e+00
2.108e-07 2.930e+07 3.813e-03 4.672e+01 3.780e-01 1.000e+00
2.276e-07 2.802e+07 3.647e-03 4.647e+01 3.857e-01 1.000e+00
2.458e-07 2.551e+07 3.320e-03 4.622e+01 3.994e-01 1.000e+00
2.655e-07 2.207e+07 2.872e-03 4.610e+01 4.270e-01 1.000e+00
2.868e-07 1.826e+07 2.377e-03 4.645e+01 4.844e-01 1.000e+00
3.097e-07 1.501e+07 1.953e-03 4.790e+01 5.983e-01 1.000e+00
3.345e-07 1.368e+07 1.781e-03 5.065e+01 7.782e-01 1.000e+00
3.612e-07 1.632e+07 2.125e-03 5.314e+01 9.424e-01 1.000e+00
3.901e-07 2.584e+07 3.363e-03 5.393e+01 9.999e-01 1.000e+00
4.213e-07 4.628e+07 6.023e-03 5.378e+01 9.934e-01 1.000e+00
4.550e-07 8.324e+07 1.083e-02 5.354e+01 9.787e-01 1.000e+00
4.914e-07 1.437e+08 1.870e-02 5.340e+01 9.699e-01 1.000e+00
5.308e-07 2.313e+08 3.011e-02 5.335e+01 9.663e-01 1.000e+00
5.732e-07 3.468e+08 4.513e-02 5.334e+01 9.652e-01 1.000e+00
6.191e-07 4.891e+08 6.365e-02 5.334e+01 9.651e-01 1.000e+00
6.686e-07 6.550e+08 8.525e-02 5.335e+01 9.655e-01 1.000e+00
7.221e-07 8.380e+08 1.091e-01 5.335e+01 9.658e-01 1.000e+00
7.799e-07 1.027e+09 1.336e-01 5.336e+01 9.663e-01 1.000e+00
