# mu_q_mev  pressure_mev4  energy_density_mev4
2.0472457370e+03 9.2193667363e+11 2.7052564134e+12
2.0909100305e+03 1.0017427765e+12 2.9419126314e+12
2.1355056095e+03 1.0885130845e+12 3.1993488951e+12
2.1810523370e+03 1.1828582180e+12 3.4793919896e+12
2.2275704992e+03 1.2854424088e+12 3.7840299420e+12
2.2750808152e+03 1.3969883090e+12 4.1154268856e+12
2.3236044461e+03 1.5182820855e+12 4.4759364682e+12
2.3731630040e+03 1.6501790143e+12 4.8681203670e+12
2.4237785622e+03 1.7936095932e+12 5.2947636790e+12
2.4754736648e+03 1.9495860400e+12 5.7588977794e+12
2.5282713366e+03 2.1192096547e+12 6.2638225105e+12
2.5821950936e+03 2.3036785549e+12 6.8131262574e+12
2.6372689532e+03 2.5042962199e+12 7.4107138404e+12
2.6935174452e+03 2.7224807627e+12 8.0608338609e+12
2.7509656225e+03 2.9597750212e+12 8.7681089748e+12
2.8096390724e+03 3.2178575351e+12 9.5375687805e+12
2.8695639279e+03 3.4985544901e+12 1.0374687070e+13
2.9307668794e+03 3.8038527737e+12 1.1285416612e+13
2.9932751864e+03 4.1359139343e+12 1.2276235245e+13
3.0571166900e+03 4.4970897863e+12 1.3354193042e+13
3.1223198251e+03 4.8899390053e+12 1.4526959683e+13
3.1889136329e+03 5.3172454476e+12 1.5802880363e+13
3.2569277741e+03 5.7820378710e+12 1.7191034192e+13
3.3263925420e+03 6.2876115624e+12 1.8701299203e+13
3.3973388762e+03 6.8375517110e+12 2.0344426990e+13
3.4697983758e+03 7.4357591860e+12 2.2132111381e+13
3.5438033141e+03 8.0864778783e+12 2.4077077333e+13
3.6193866527e+03 8.7943254215e+12 2.6193172628e+13
3.6965820563e+03 9.5643256663e+12 2.8495459494e+13
3.7754239075e+03 1.0401944675e+13 3.1000332543e+13
3.8559473222e+03 1.1313129680e+13 3.3725626760e+13
3.9381881652e+03 1.2304351289e+13 3.6690745787e+13
4.0221830666e+03 1.3382649647e+13 3.9916805937e+13
4.1079694373e+03 1.4555684676e+13 4.3426781306e+13
4.1955854864e+03 1.5831790483e+13 4.7245669297e+13
4.2850702378e+03 1.7220034893e+13 5.1400668423e+13
4.3764635479e+03 1.8730283881e+13 5.5921371383e+13
4.4698061228e+03 2.0373271985e+13 6.0839979394e+13
4.5651395372e+03 2.2160678760e+13 6.6191528272e+13
4.6625062523e+03 2.4105211976e+13 7.2014138603e+13
4.7619496350e+03 2.6220698144e+13 7.8349289902e+13
4.8635139770e+03 2.8522181132e+13 8.5242111458e+13
4.9672445149e+03 3.1026029126e+13 9.2741712775e+13
5.0731874500e+03 3.3750051742e+13 1.0090152373e+14
5.1813899689e+03 3.6713626266e+13 1.0977967641e+14
5.2919002647e+03 3.9937836277e+13 1.1943943067e+14
5.4047675585e+03 4.3445621674e+13 1.2994961539e+14
5.5200421211e+03 4.7261942298e+13 1.4138509329e+14
5.6377752953e+03 5.1413954467e+13 1.5382742212e+14
5.7580195193e+03 5.5931210159e+13 1.6736521580e+14
5.8808283494e+03 6.0845856721e+13 1.8209489186e+14
6.0062564845e+03 6.6192876867e+13 1.9812149372e+14
6.1343597898e+03 7.2010332448e+13 2.1555920537e+14
6.2651953222e+03 7.8339636982e+13 2.3453229482e+14
6.3988213555e+03 8.5225850604e+13 2.5517598420e+14
6.5352974065e+03 9.2718001865e+13 2.7763739153e+14
6.6746842610e+03 1.0086943599e+14 3.0207659342e+14
6.8170440017e+03 1.0973819638e+14 3.2866777836e+14
6.9624400352e+03 1.1938743757e+14 3.5760046312e+14
7.1109371205e+03 1.2988587566e+14 3.8908085276e+14
7.2626013978e+03 1.4130827769e+14 4.2333335055e+14
7.4175004180e+03 1.5373599658e+14 4.6060207636e+14
7.5757031726e+03 1.6725754707e+14 5.0115265113e+14
7.7372801247e+03 1.8196924065e+14 5.4527413785e+14
7.9023032403e+03 1.9797587001e+14 5.9328099072e+14
8.0708460202e+03 2.1539145537e+14 6.4551549729e+14
8.2429835329e+03 2.3434006373e+14 7.0234995085e+14
8.4187924480e+03 2.5495668101e+14 7.6418905791e+14
8.5983510702e+03 2.7738817046e+14 8.3147469213e+14
8.7817393746e+03 3.0179438729e+14 9.0468584904e+14
8.9690390417e+03 3.2834917646e+14 9.8434370249e+14
9.1603334944e+03 3.5724175338e+14 1.0710171157e+15
9.3557079346e+03 3.8867798229e+14 1.1653236186e+15
9.5552493816e+03 4.2288185863e+14 1.2679354679e+15
9.7590467106e+03 4.6009710375e+14 1.3795842013e+15
9.9671906924e+03 5.0058890758e+14 1.5010657140e+15
1.0179774034e+04 5.4464581091e+14 1.6332460052e+15
1.0396891419e+04 5.9258177096e+14 1.7770673519e+15
1.0618639551e+04 6.4473839096e+14 1.9335552100e+15
1.0845117196e+04 7.0148737223e+14 2.1038251664e+15
1.1076425226e+04 7.6323313970e+14 2.2890908568e+15
1.1312666667e+04 8.3041574098e+14 2.4906732306e+15
1.1553946738e+04 9.0351398448e+14 2.7100094496e+15
1.1800372905e+04 9.8304884719e+14 2.9486631541e+15
1.2052054927e+04 1.0695871906e+15 3.2083357834e+15
1.2309104900e+04 1.1637458034e+15 3.4908784043e+15
1.2571637316e+04 1.2661957876e+15 3.7983047134e+15
1.2839769105e+04 1.3776673362e+15 4.1328069832e+15
1.3113619691e+04 1.4989549956e+15 4.4967743816e+15
1.3393311048e+04 1.6309234392e+15 4.8927990070e+15
1.3678967749e+04 1.7745132167e+15 5.3236982397e+15
1.3970717026e+04 1.9307477406e+15 5.7925483480e+15
1.4268688821e+04 2.1007407316e+15 6.3026949559e+15
