# pipeline=quark_stars
# construction=without_maxwell
# m_sigma_mev=500.000000
# units=chemical potentials and sigma in MeV; densities in fm^-3; pressure and energy density in GeV fm^-3
# B0_mev4=4.033789244638e+08
# B0_gev_fm3=5.249933385925e-02
# B_mev4=0.000000000000e+00
# B_gev_fm3=0.000000000000e+00
# B_1_4_mev=0.000000
# columns=mu_u_mev mu_d_mev mu_e_mev sigma_mev constituent_mass_mev n_u_fm-3 n_d_fm-3 n_e_fm-3 n_B_fm-3 pressure_gev_fm-3 energy_density_gev_fm-3
3.012e+02 3.023e+02 1.111e+00 9.279e+01 2.993e+02 5.083e-04 1.017e-03 4.215e-09 5.083e-04 1.083e-06 4.594e-04
3.016e+02 3.034e+02 1.737e+00 9.258e+01 2.986e+02 9.982e-04 1.996e-03 2.012e-08 9.982e-04 2.935e-06 9.038e-04
3.019e+02 3.041e+02 2.266e+00 9.238e+01 2.980e+02 1.491e-03 2.982e-03 4.730e-08 1.491e-03 5.184e-06 1.352e-03
3.020e+02 3.048e+02 2.740e+00 9.217e+01 2.973e+02 1.986e-03 3.972e-03 8.573e-08 1.986e-03 7.673e-06 1.803e-03
3.022e+02 3.053e+02 3.177e+00 9.197e+01 2.967e+02 2.484e-03 4.967e-03 1.355e-07 2.484e-03 1.031e-05 2.257e-03
3.022e+02 3.058e+02 3.587e+00 9.176e+01 2.960e+02 2.984e-03 5.967e-03 1.967e-07 2.984e-03 1.302e-05 2.713e-03
3.022e+02 3.062e+02 3.976e+00 9.156e+01 2.953e+02 3.486e-03 6.971e-03 2.694e-07 3.486e-03 1.576e-05 3.172e-03
3.022e+02 3.066e+02 4.347e+00 9.135e+01 2.947e+02 3.990e-03 7.979e-03 3.537e-07 3.990e-03 1.850e-05 3.634e-03
3.022e+02 3.069e+02 4.705e+00 9.115e+01 2.940e+02 4.496e-03 8.991e-03 4.498e-07 4.496e-03 2.120e-05 4.097e-03
3.022e+02 3.072e+02 5.051e+00 9.094e+01 2.934e+02 5.004e-03 1.001e-02 5.578e-07 5.004e-03 2.384e-05 4.562e-03
3.021e+02 3.075e+02 5.387e+00 9.074e+01 2.927e+02 5.514e-03 1.103e-02 6.778e-07 5.514e-03 2.639e-05 5.030e-03
3.020e+02 3.077e+02 5.713e+00 9.053e+01 2.920e+02 6.026e-03 1.205e-02 8.100e-07 6.026e-03 2.885e-05 5.499e-03
3.019e+02 3.080e+02 6.032e+00 9.033e+01 2.914e+02 6.540e-03 1.308e-02 9.544e-07 6.539e-03 3.118e-05 5.971e-03
3.018e+02 3.082e+02 6.344e+00 9.012e+01 2.907e+02 7.056e-03 1.411e-02 1.111e-06 7.054e-03 3.340e-05 6.444e-03
3.017e+02 3.084e+02 6.649e+00 8.992e+01 2.900e+02 7.573e-03 1.514e-02 1.281e-06 7.572e-03 3.547e-05 6.919e-03
3.016e+02 3.086e+02 6.948e+00 8.971e+01 2.894e+02 8.092e-03 1.618e-02 1.463e-06 8.090e-03 3.739e-05 7.395e-03
3.015e+02 3.087e+02 7.243e+00 8.951e+01 2.887e+02 8.613e-03 1.722e-02 1.658e-06 8.611e-03 3.915e-05 7.874e-03
3.013e+02 3.089e+02 7.532e+00 8.930e+01 2.881e+02 9.135e-03 1.826e-02 1.865e-06 9.133e-03 4.075e-05 8.354e-03
3.012e+02 3.090e+02 7.817e+00 8.910e+01 2.874e+02 9.659e-03 1.931e-02 2.086e-06 9.657e-03 4.217e-05 8.835e-03
3.011e+02 3.092e+02 8.098e+00 8.889e+01 2.867e+02 1.018e-02 2.036e-02 2.320e-06 1.018e-02 4.342e-05 9.318e-03
3.009e+02 3.093e+02 8.375e+00 8.868e+01 2.861e+02 1.071e-02 2.142e-02 2.568e-06 1.071e-02 4.448e-05 9.803e-03
3.008e+02 3.094e+02 8.649e+00 8.848e+01 2.854e+02 1.124e-02 2.247e-02 2.829e-06 1.124e-02 4.535e-05 1.029e-02
3.006e+02 3.095e+02 8.919e+00 8.827e+01 2.848e+02 1.177e-02 2.353e-02 3.104e-06 1.177e-02 4.603e-05 1.078e-02
3.004e+02 3.096e+02 9.187e+00 8.807e+01 2.841e+02 1.230e-02 2.460e-02 3.392e-06 1.230e-02 4.651e-05 1.126e-02
3.003e+02 3.097e+02 9.451e+00 8.786e+01 2.834e+02 1.284e-02 2.566e-02 3.694e-06 1.283e-02 4.679e-05 1.175e-02
3.001e+02 3.098e+02 9.713e+00 8.766e+01 2.828e+02 1.337e-02 2.673e-02 4.011e-06 1.337e-02 4.687e-05 1.225e-02
2.999e+02 3.099e+02 9.972e+00 8.745e+01 2.821e+02 1.391e-02 2.780e-02 4.341e-06 1.390e-02 4.674e-05 1.274e-02
2.997e+02 3.100e+02 1.023e+01 8.725e+01 2.815e+02 1.444e-02 2.887e-02 4.686e-06 1.444e-02 4.640e-05 1.323e-02
2.996e+02 3.100e+02 1.048e+01 8.704e+01 2.808e+02 1.498e-02 2.995e-02 5.046e-06 1.498e-02 4.585e-05 1.373e-02
2.994e+02 3.101e+02 1.074e+01 8.684e+01 2.801e+02 1.552e-02 3.103e-02 5.420e-06 1.552e-02 4.509e-05 1.423e-02
2.992e+02 3.102e+02 1.099e+01 8.663e+01 2.795e+02 1.607e-02 3.211e-02 5.809e-06 1.606e-02 4.411e-05 1.472e-02
2.990e+02 3.102e+02 1.123e+01 8.643e+01 2.788e+02 1.661e-02 3.320e-02 6.212e-06 1.660e-02 4.292e-05 1.522e-02
2.988e+02 3.103e+02 1.148e+01 8.622e+01 2.781e+02 1.715e-02 3.429e-02 6.631e-06 1.715e-02 4.151e-05 1.572e-02
2.986e+02 3.103e+02 1.172e+01 8.602e+01 2.775e+02 1.770e-02 3.538e-02 7.065e-06 1.769e-02 3.988e-05 1.622e-02
2.984e+02 3.104e+02 1.197e+01 8.581e+01 2.768e+02 1.825e-02 3.647e-02 7.514e-06 1.824e-02 3.803e-05 1.673e-02
2.982e+02 3.104e+02 1.221e+01 8.561e+01 2.762e+02 1.879e-02 3.757e-02 7.979e-06 1.879e-02 3.597e-05 1.723e-02
2.980e+02 3.105e+02 1.245e+01 8.540e+01 2.755e+02 1.934e-02 3.866e-02 8.459e-06 1.934e-02 3.368e-05 1.773e-02
2.978e+02 3.105e+02 1.269e+01 8.520e+01 2.748e+02 1.990e-02 3.976e-02 8.955e-06 1.989e-02 3.117e-05 1.824e-02
2.976e+02 3.105e+02 1.292e+01 8.499e+01 2.742e+02 2.045e-02 4.087e-02 9.466e-06 2.044e-02 2.844e-05 1.875e-02
2.974e+02 3.106e+02 1.316e+01 8.479e+01 2.735e+02 2.100e-02 4.197e-02 9.994e-06 2.099e-02 2.549e-05 1.926e-02
2.972e+02 3.106e+02 1.339e+01 8.458e+01 2.729e+02 2.156e-02 4.308e-02 1.054e-05 2.154e-02 2.232e-05 1.976e-02
2.970e+02 3.106e+02 1.363e+01 8.438e+01 2.722e+02 2.211e-02 4.419e-02 1.110e-05 2.210e-02 1.893e-05 2.027e-02
2.968e+02 3.106e+02 1.386e+01 8.417e+01 2.715e+02 2.267e-02 4.530e-02 1.167e-05 2.266e-02 1.532e-05 2.078e-02
2.966e+02 3.107e+02 1.409e+01 8.397e+01 2.709e+02 2.323e-02 4.642e-02 1.227e-05 2.321e-02 1.149e-05 2.130e-02
2.964e+02 3.107e+02 1.432e+01 8.376e+01 2.702e+02 2.379e-02 4.753e-02 1.288e-05 2.377e-02 7.438e-06 2.181e-02
2.961e+02 3.107e+02 1.455e+01 8.356e+01 2.695e+02 2.435e-02 4.865e-02 1.350e-05 2.433e-02 3.167e-06 2.232e-02
2.959e+02 3.107e+02 1.477e+01 8.335e+01 2.689e+02 2.491e-02 4.977e-02 1.415e-05 2.489e-02 -1.323e-06 2.284e-02
2.957e+02 3.107e+02 1.500e+01 8.315e+01 2.682e+02 2.547e-02 5.090e-02 1.481e-05 2.545e-02 -6.031e-06 2.335e-02
2.955e+02 3.107e+02 1.522e+01 8.294e+01 2.676e+02 2.603e-02 5.202e-02 1.548e-05 2.602e-02 -1.096e-05 2.387e-02
2.953e+02 3.107e+02 1.545e+01 8.274e+01 2.669e+02 2.660e-02 5.315e-02 1.618e-05 2.658e-02 -1.610e-05 2.439e-02
2.951e+02 3.108e+02 1.567e+01 8.253e+01 2.662e+02 2.716e-02 5.428e-02 1.689e-05 2.715e-02 -2.146e-05 2.490e-02
2.949e+02 3.108e+02 1.589e+01 8.233e+01 2.656e+02 2.773e-02 5.541e-02 1.762e-05 2.771e-02 -2.703e-05 2.542e-02
2.946e+02 3.108e+02 1.611e+01 8.212e+01 2.649e+02 2.830e-02 5.654e-02 1.836e-05 2.828e-02 -3.282e-05 2.594e-02
2.944e+02 3.108e+02 1.633e+01 8.192e+01 2.643e+02 2.887e-02 5.768e-02 1.913e-05 2.885e-02 -3.882e-05 2.646e-02
2.942e+02 3.108e+02 1.655e+01 8.171e+01 2.636e+02 2.944e-02 5.881e-02 1.991e-05 2.942e-02 -4.503e-05 2.698e-02
2.940e+02 3.108e+02 1.677e+01 8.151e+01 2.629e+02 3.001e-02 5.995e-02 2.071e-05 2.999e-02 -5.145e-05 2.751e-02
2.938e+02 3.108e+02 1.699e+01 8.130e+01 2.623e+02 3.058e-02 6.109e-02 2.153e-05 3.056e-02 -5.808e-05 2.803e-02
2.936e+02 3.108e+02 1.721e+01 8.110e+01 2.616e+02 3.115e-02 6.224e-02 2.237e-05 3.113e-02 -6.492e-05 2.855e-02
2.933e+02 3.108e+02 1.742e+01 8.089e+01 2.609e+02 3.173e-02 6.338e-02 2.322e-05 3.170e-02 -7.196e-05 2.908e-02
2.931e+02 3.108e+02 1.764e+01 8.069e+01 2.603e+02 3.230e-02 6.453e-02 2.410e-05 3.228e-02 -7.921e-05 2.960e-02
2.929e+02 3.108e+02 1.785e+01 8.048e+01 2.596e+02 3.288e-02 6.568e-02 2.499e-05 3.285e-02 -8.667e-05 3.013e-02
2.927e+02 3.107e+02 1.807e+01 8.028e+01 2.590e+02 3.345e-02 6.683e-02 2.590e-05 3.343e-02 -9.433e-05 3.065e-02
2.925e+02 3.107e+02 1.828e+01 8.007e+01 2.583e+02 3.403e-02 6.798e-02 2.683e-05 3.400e-02 -1.022e-04 3.118e-02
2.922e+02 3.107e+02 1.849e+01 7.987e+01 2.576e+02 3.461e-02 6.913e-02 2.778e-05 3.458e-02 -1.102e-04 3.171e-02
2.920e+02 3.107e+02 1.871e+01 7.966e+01 2.570e+02 3.519e-02 7.029e-02 2.874e-05 3.516e-02 -1.185e-04 3.223e-02
2.918e+02 3.107e+02 1.892e+01 7.946e+01 2.563e+02 3.577e-02 7.145e-02 2.973e-05 3.574e-02 -1.269e-04 3.276e-02
2.916e+02 3.107e+02 1.913e+01 7.925e+01 2.557e+02 3.635e-02 7.260e-02 3.074e-05 3.632e-02 -1.356e-04 3.329e-02
2.914e+02 3.107e+02 1.934e+01 7.905e+01 2.550e+02 3.693e-02 7.376e-02 3.176e-05 3.690e-02 -1.444e-04 3.382e-02
2.911e+02 3.107e+02 1.955e+01 7.884e+01 2.543e+02 3.751e-02 7.493e-02 3.280e-05 3.748e-02 -1.535e-04 3.435e-02
2.909e+02 3.107e+02 1.976e+01 7.864e+01 2.537e+02 3.810e-02 7.609e-02 3.387e-05 3.806e-02 -1.627e-04 3.488e-02
2.907e+02 3.107e+02 1.997e+01 7.843e+01 2.530e+02 3.868e-02 7.725e-02 3.495e-05 3.864e-02 -1.721e-04 3.542e-02
2.905e+02 3.107e+02 2.017e+01 7.823e+01 2.523e+02 3.926e-02 7.842e-02 3.606e-05 3.923e-02 -1.817e-04 3.595e-02
2.903e+02 3.106e+02 2.038e+01 7.802e+01 2.517e+02 3.985e-02 7.959e-02 3.718e-05 3.981e-02 -1.914e-04 3.648e-02
