# pipeline=quark_stars
# construction=without_maxwell
# m_sigma_mev=600.000000
# units=chemical potentials and sigma in MeV; densities in fm^-3; pressure and energy density in GeV fm^-3
# B0_mev4=5.806289137042e+08
# B0_gev_fm3=7.556822962283e-02
# B_mev4=0.000000000000e+00
# B_gev_fm3=0.000000000000e+00
# B_1_4_mev=0.000000
# columns=mu_u_mev mu_d_mev mu_e_mev sigma_mev constituent_mass_mev n_u_fm-3 n_d_fm-3 n_e_fm-3 n_B_fm-3 pressure_gev_fm-3 energy_density_gev_fm-3
3.023e+02 3.040e+02 1.718e+00 9.279e+01 2.993e+02 9.846e-04 1.969e-03 1.940e-08 9.846e-04 3.808e-06 8.924e-04
3.033e+02 3.059e+02 2.680e+00 9.258e+01 2.986e+02 1.933e-03 3.866e-03 8.007e-08 1.933e-03 1.091e-05 1.758e-03
3.040e+02 3.075e+02 3.488e+00 9.238e+01 2.980e+02 2.886e-03 5.771e-03 1.805e-07 2.885e-03 2.017e-05 2.632e-03
3.046e+02 3.088e+02 4.207e+00 9.217e+01 2.973e+02 3.842e-03 7.683e-03 3.201e-07 3.841e-03 3.110e-05 3.512e-03
3.051e+02 3.100e+02 4.867e+00 9.197e+01 2.967e+02 4.801e-03 9.600e-03 4.985e-07 4.800e-03 4.339e-05 4.397e-03
3.056e+02 3.111e+02 5.484e+00 9.176e+01 2.960e+02 5.762e-03 1.152e-02 7.154e-07 5.762e-03 5.683e-05 5.288e-03
3.060e+02 3.120e+02 6.066e+00 9.156e+01 2.953e+02 6.726e-03 1.345e-02 9.705e-07 6.725e-03 7.125e-05 6.183e-03
3.063e+02 3.129e+02 6.620e+00 9.135e+01 2.947e+02 7.692e-03 1.538e-02 1.264e-06 7.691e-03 8.654e-05 7.082e-03
3.066e+02 3.137e+02 7.150e+00 9.115e+01 2.940e+02 8.660e-03 1.731e-02 1.595e-06 8.658e-03 1.026e-04 7.985e-03
3.069e+02 3.145e+02 7.661e+00 9.094e+01 2.934e+02 9.629e-03 1.925e-02 1.963e-06 9.627e-03 1.193e-04 8.891e-03
3.071e+02 3.153e+02 8.155e+00 9.074e+01 2.927e+02 1.060e-02 2.119e-02 2.370e-06 1.060e-02 1.366e-04 9.800e-03
3.073e+02 3.160e+02 8.633e+00 9.053e+01 2.920e+02 1.157e-02 2.314e-02 2.813e-06 1.157e-02 1.545e-04 1.071e-02
3.075e+02 3.166e+02 9.098e+00 9.033e+01 2.914e+02 1.255e-02 2.508e-02 3.294e-06 1.254e-02 1.728e-04 1.163e-02
