# pipeline=quark_stars
# construction=with_maxwell
# m_sigma_mev=600.000000
# units=chemical potentials and sigma in MeV; densities in fm^-3; pressure and energy density in GeV fm^-3
# B0_mev4=5.806289137042e+08
# B0_gev_fm3=7.556822962283e-02
# B_mev4=0.000000000000e+00
# B_gev_fm3=0.000000000000e+00
# B_1_4_mev=0.000000
# columns=mu_u_mev mu_d_mev mu_e_mev sigma_mev constituent_mass_mev n_u_fm-3 n_d_fm-3 n_e_fm-3 n_B_fm-3 pressure_gev_fm-3 energy_density_gev_fm-3
2.938e+02 3.571e+02 6.337e+01 3.825e+01 1.234e+02 2.499e-01 4.964e-01 1.118e-03 2.488e-01 6.500e-03 2.443e-01
2.938e+02 3.573e+02 6.350e+01 3.804e+01 1.227e+02 2.508e-01 4.982e-01 1.125e-03 2.497e-01 6.573e-03 2.452e-01
2.938e+02 3.574e+02 6.363e+01 3.784e+01 1.221e+02 2.517e-01 4.999e-01 1.132e-03 2.505e-01 6.646e-03 2.460e-01
2.938e+02 3.576e+02 6.376e+01 3.763e+01 1.214e+02 2.525e-01 5.017e-01 1.140e-03 2.514e-01 6.721e-03 2.469e-01
2.938e+02 3.577e+02 6.390e+01 3.743e+01 1.207e+02 2.534e-01 5.034e-01 1.147e-03 2.523e-01 6.797e-03 2.478e-01
2.938e+02 3.579e+02 6.403e+01 3.722e+01 1.201e+02 2.543e-01 5.052e-01 1.154e-03 2.532e-01 6.874e-03 2.487e-01
2.938e+02 3.580e+02 6.416e+01 3.702e+01 1.194e+02 2.552e-01 5.069e-01 1.161e-03 2.541e-01 6.952e-03 2.496e-01
2.939e+02 3.581e+02 6.429e+01 3.681e+01 1.187e+02 2.561e-01 5.087e-01 1.168e-03 2.549e-01 7.032e-03 2.505e-01
2.939e+02 3.583e+02 6.442e+01 3.661e+01 1.181e+02 2.570e-01 5.105e-01 1.175e-03 2.558e-01 7.114e-03 2.514e-01
2.939e+02 3.584e+02 6.455e+01 3.640e+01 1.174e+02 2.579e-01 5.122e-01 1.182e-03 2.567e-01 7.196e-03 2.523e-01
2.939e+02 3.586e+02 6.468e+01 3.620e+01 1.168e+02 2.588e-01 5.140e-01 1.189e-03 2.576e-01 7.281e-03 2.532e-01
2.939e+02 3.588e+02 6.481e+01 3.599e+01 1.161e+02 2.597e-01 5.158e-01 1.197e-03 2.585e-01 7.366e-03 2.541e-01
2.940e+02 3.589e+02 6.494e+01 3.579e+01 1.154e+02 2.606e-01 5.176e-01 1.204e-03 2.594e-01 7.453e-03 2.550e-01
