# tag=combo1
# g_delta_factor=2.5000
# m_delta_mev=500.0
# lambda_3_factor=2.0000
# lambda_delta_factor=0.2500
# source=tov_resume_from_eos_file
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
2.319119e-09 2.133302e+06 2.776470e-04 3.000000e+01 2.414816e-02 1
2.504648e-09 2.190449e+06 2.850846e-04 3.000000e+01 2.469375e-02 1
2.705020e-09 2.252278e+06 2.931316e-04 3.000000e+01 2.527890e-02 1
2.921421e-09 2.319175e+06 3.018381e-04 3.000000e+01 2.590609e-02 1
3.155135e-09 2.391558e+06 3.112587e-04 3.000000e+01 2.657788e-02 1
3.407546e-09 2.469879e+06 3.214521e-04 3.000000e+01 2.729693e-02 1
3.680150e-09 2.554626e+06 3.324818e-04 3.000000e+01 2.806596e-02 1
3.974562e-09 2.646324e+06 3.444162e-04 3.000000e+01 2.888773e-02 1
4.292527e-09 2.745539e+06 3.573289e-04 3.000000e+01 2.976505e-02 1
4.635929e-09 2.852878e+06 3.712990e-04 3.000000e+01 3.070075e-02 1
5.006803e-09 2.968993e+06 3.864112e-04 3.000000e+01 3.169762e-02 1
5.407347e-09 3.094578e+06 4.027560e-04 3.000000e+01 3.275845e-02 1
5.839935e-09 3.230374e+06 4.204297e-04 3.000000e+01 3.388594e-02 1
6.307130e-09 3.377164e+06 4.395343e-04 3.000000e+01 3.508269e-02 1
6.811700e-09 3.535775e+06 4.601773e-04 3.000000e+01 3.635119e-02 1
7.356636e-09 3.707068e+06 4.824709e-04 3.000000e+01 3.769376e-02 1
7.945167e-09 3.891937e+06 5.065314e-04 3.000000e+01 3.911250e-02 1
8.580781e-09 4.091294e+06 5.324775e-04 3.000000e+01 4.060935e-02 1
9.267243e-09 4.306058e+06 5.604288e-04 3.000000e+01 4.218599e-02 1
1.000862e-08 4.537130e+06 5.905026e-04 3.000000e+01 4.384388e-02 1
1.080931e-08 4.785366e+06 6.228102e-04 3.000000e+01 4.558428e-02 1
1.167406e-08 5.051536e+06 6.574520e-04 3.000000e+01 4.740830e-02 1
1.260798e-08 5.336275e+06 6.945105e-04 3.000000e+01 4.931696e-02 1
1.361662e-08 5.640007e+06 7.340408e-04 3.000000e+01 5.131134e-02 1
1.470595e-08 5.962857e+06 7.760594e-04 3.000000e+01 5.339276e-02 1
1.588243e-08 6.304530e+06 8.205278e-04 3.000000e+01 5.556303e-02 1
1.715302e-08 6.664155e+06 8.673326e-04 3.000000e+01 5.782477e-02 1
1.852526e-08 7.040091e+06 9.162602e-04 3.000000e+01 6.018192e-02 1
2.000728e-08 7.430599e+06 9.670845e-04 3.000000e+01 6.263998e-02 1
2.160787e-08 7.834759e+06 1.019685e-03 3.000000e+01 6.520510e-02 1
2.333649e-08 8.251534e+06 1.073928e-03 3.000000e+01 6.788387e-02 1
2.520341e-08 8.679655e+06 1.129648e-03 3.000000e+01 7.068361e-02 1
2.721969e-08 9.117635e+06 1.186650e-03 3.000000e+01 7.361261e-02 1
2.939726e-08 9.563798e+06 1.244718e-03 3.000000e+01 7.668031e-02 1
3.174904e-08 1.001634e+07 1.303616e-03 3.000000e+01 7.989739e-02 1
3.428897e-08 1.047341e+07 1.363104e-03 3.000000e+01 8.327582e-02 1
3.703208e-08 1.093331e+07 1.422958e-03 3.000000e+01 8.682869e-02 1
3.999465e-08 1.139464e+07 1.483000e-03 3.000000e+01 9.056993e-02 1
4.319422e-08 1.185669e+07 1.543136e-03 3.000000e+01 9.451367e-02 1
4.664976e-08 1.231988e+07 1.603419e-03 3.000000e+01 9.867323e-02 1
5.038174e-08 1.278634e+07 1.664129e-03 3.000000e+01 1.030595e-01 1
5.441228e-08 1.326083e+07 1.725883e-03 3.000000e+01 1.076788e-01 1
5.876526e-08 1.375185e+07 1.789788e-03 3.000000e+01 1.125292e-01 1
6.346648e-08 1.427276e+07 1.857584e-03 3.000000e+01 1.175968e-01 1
6.854380e-08 1.483386e+07 1.930611e-03 3.000000e+01 1.228558e-01 1
7.402731e-08 1.543887e+07 2.009352e-03 3.000000e+01 1.282792e-01 1
7.994949e-08 1.609154e+07 2.094296e-03 3.000000e+01 1.338429e-01 1
8.634545e-08 1.679609e+07 2.185993e-03 3.000000e+01 1.395261e-01 1
9.325309e-08 1.755728e+07 2.285061e-03 3.000000e+01 1.453112e-01 1
1.007133e-07 1.838052e+07 2.392204e-03 3.000000e+01 1.511846e-01 1
1.087704e-07 1.927200e+07 2.508230e-03 3.000000e+01 1.571352e-01 1
1.174720e-07 2.023892e+07 2.634073e-03 3.000000e+01 1.631541e-01 1
1.268698e-07 2.128964e+07 2.770824e-03 3.000000e+01 1.692338e-01 1
1.370194e-07 2.243405e+07 2.919768e-03 3.000000e+01 1.753669e-01 1
1.479809e-07 2.368250e+07 3.082253e-03 3.000000e+01 1.815455e-01 1
1.598194e-07 2.504136e+07 3.259106e-03 3.000000e+01 1.877627e-01 1
1.726050e-07 2.651466e+07 3.450854e-03 3.000000e+01 1.940149e-01 1
1.864134e-07 2.810429e+07 3.657743e-03 3.000000e+01 2.003017e-01 1
2.013264e-07 2.980892e+07 3.879599e-03 3.000000e+01 2.066261e-01 1
2.174325e-07 3.162268e+07 4.115657e-03 3.000000e+01 2.129959e-01 1
2.348271e-07 3.353329e+07 4.364322e-03 3.000000e+01 2.194253e-01 1
2.536133e-07 3.551978e+07 4.622861e-03 3.000000e+01 2.259378e-01 1
2.739024e-07 3.755937e+07 4.888312e-03 3.000000e+01 2.325691e-01 1
2.958146e-07 3.964606e+07 5.159892e-03 3.000000e+01 2.393578e-01 1
3.194797e-07 4.177820e+07 5.437388e-03 3.000000e+01 2.463397e-01 1
3.450381e-07 4.395676e+07 5.720925e-03 3.000000e+01 2.535472e-01 1
3.726412e-07 4.618686e+07 6.011170e-03 3.000000e+01 2.610090e-01 1
4.024524e-07 4.848000e+07 6.309620e-03 3.000000e+01 2.687479e-01 1
4.346486e-07 5.085707e+07 6.618993e-03 3.000000e+01 2.767775e-01 1
4.694205e-07 5.334625e+07 6.942957e-03 3.000000e+01 2.850981e-01 1
5.069742e-07 5.596694e+07 7.284037e-03 3.000000e+01 2.936988e-01 1
5.475321e-07 5.874179e+07 7.645181e-03 3.000000e+01 3.025617e-01 1
5.913347e-07 6.170336e+07 8.030626e-03 3.000000e+01 3.116586e-01 1
6.386414e-07 6.489780e+07 8.446379e-03 3.000000e+01 3.209458e-01 1
6.897328e-07 6.838962e+07 8.900835e-03 3.000000e+01 3.303587e-01 1
7.449114e-07 7.223722e+07 9.401596e-03 3.000000e+01 3.398101e-01 1
8.045043e-07 7.644552e+07 9.949302e-03 3.000000e+01 3.492150e-01 1
8.688646e-07 8.099673e+07 1.054164e-02 3.000000e+01 3.585111e-01 1
9.383738e-07 8.584949e+07 1.117322e-02 3.000000e+01 3.676645e-01 1
1.013444e-06 9.092965e+07 1.183440e-02 3.000000e+01 3.766759e-01 1
1.094519e-06 9.616377e+07 1.251561e-02 3.000000e+01 3.855826e-01 1
1.182081e-06 1.015670e+08 1.321884e-02 3.000000e+01 3.944304e-01 1
1.276647e-06 1.071895e+08 1.395059e-02 3.000000e+01 4.032477e-01 1
1.378779e-06 1.131114e+08 1.472133e-02 3.000000e+01 4.120395e-01 1
