# tag=combo5
# g_delta_factor=2.2500
# m_delta_mev=500.0
# lambda_3_factor=2.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# omega_vac_mev4=-5.8164593665e+08
# num_raw_points=700
# mu_min_mev=250.0
# mu_max_mev=900.0
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.5650929900e+02 7.6952789700e+02 9.2999999619e+01 2.9022979238e-07 2.1065065576e-06 5.1100000058e-01 0.0000000000e+00 2.5550000029e-01 -2.5549789378e-01 4.7683715820e-07 8.1146425834e-02 2.7048808611e-02 2.0814812330e+01 1.1321507991e-04 -5.8164593665e+08 normal 1 4.3487964571e-11
2.8161659514e+02 8.4484978541e+02 9.2999999787e+01 5.1496246479e-09 3.7376307929e-08 1.4189132358e+00 0.0000000000e+00 7.0945661790e-01 -7.0945658052e-01 2.3026943207e-02 7.9641323392e-01 2.6547107797e-01 2.2426015632e+02 1.1315005501e-04 -5.8164593668e+08 normal 1 7.8334341672e-02
2.8254649499e+02 8.4763948498e+02 9.2999669671e+01 3.7047783781e-03 2.6889520486e-02 5.1100001805e-01 0.0000000000e+00 2.5550000902e-01 -2.2861048854e-01 1.4882571697e+00 2.4599925217e+03 8.1999750723e+02 6.9506077645e+05 1.7158493618e-03 -5.8164593814e+08 normal 1 7.1677838539e-02
2.8347639485e+02 8.5042918455e+02 9.2937943095e+01 6.7122985679e-01 4.8718296057e+00 2.8719346933e+00 -2.7377047181e+01 1.4359673467e+00 3.4358622591e+00 4.5751164149e+03 6.1990013844e+03 2.0663337948e+03 1.7526954477e+06 3.8916119112e-03 -5.8165051177e+08 2SC 1 4.2166694422e-07
2.8440629471e+02 8.5321888412e+02 9.2926648717e+01 6.7114828490e-01 4.8712375517e+00 2.9424144441e+00 -2.5999054604e+01 1.4712072221e+00 3.4000303296e+00 1.1530389258e+04 3.1254115753e+04 1.0418038584e+04 8.8773368665e+06 5.7182194568e-03 -5.8165746704e+08 2SC 1 1.1348754069e-07
2.8533619456e+02 8.5600858369e+02 9.2631892004e+01 1.6649413641e+00 1.2084251836e+01 9.4481892587e+00 -2.9886076202e+01 4.7240946294e+00 7.3601572065e+00 6.2701511950e+04 5.0495985380e+04 1.6831995127e+04 1.4345630797e+07 7.5418566670e-03 -5.8170863817e+08 2SC 1 5.1967248738e-07
2.8626609442e+02 8.5879828326e+02 9.2628341248e+01 1.6648775431e+00 1.2083788619e+01 9.6516291811e+00 -2.8687241995e+01 4.8258145906e+00 7.2579740288e+00 1.0544280842e+05 9.1852109526e+04 3.0617369842e+04 2.6188701850e+07 4.6721857000e-03 -5.8175137946e+08 2SC 1 2.4976887407e-07
2.8719599428e+02 8.6158798283e+02 9.1901534116e+01 2.5723699209e+00 1.8670426845e+01 1.6784231732e+01 -3.1386547105e+01 8.3921158660e+00 1.0278310979e+01 2.3352803897e+05 1.6110409063e+05 5.3701363542e+04 4.6034921451e+07 1.1270594306e-02 -5.8187946469e+08 2SC 1 3.3322013728e-08
2.8812589413e+02 8.6437768240e+02 9.1123208488e+01 3.6029966746e+00 2.6150782316e+01 2.5027359716e+01 -3.5351893333e+01 1.2513679858e+01 1.3637102458e+01 4.0506415007e+05 2.0309968844e+05 6.7699896146e+04 5.8113215180e+07 1.2834649043e-02 -5.8205100080e+08 2SC 1 2.2896064924e-07
2.8905579399e+02 8.6716738197e+02 9.0863773399e+01 4.1389245595e+00 3.0040581480e+01 2.9254293495e+01 -3.7517765984e+01 1.4627146747e+01 1.5413434733e+01 6.1125278141e+05 2.7019424599e+05 9.0064748665e+04 7.7489959527e+07 1.1583967165e-02 -5.8225718944e+08 2SC 1 5.2871894713e-06
2.8998569385e+02 8.6995708155e+02 8.9494505887e+01 4.8437167459e+00 3.5156008640e+01 3.6291146210e+01 -3.7758042111e+01 1.8145573105e+01 1.7010435535e+01 9.0757133146e+05 3.5069680740e+05 1.1689893580e+05 1.0078948569e+08 1.8168635662e-02 -5.8255350799e+08 2SC 1 5.2363359800e-06
2.9091559371e+02 8.7274678112e+02 8.9680555386e+01 4.8569149377e+00 3.5251801967e+01 3.6538944256e+01 -3.7550637381e+01 1.8269472128e+01 1.6982329840e+01 1.2634786035e+06 4.0650930052e+05 1.3550310017e+05 1.1699641590e+08 1.8698747351e-02 -5.8290941526e+08 2SC 1 4.1819325793e-08
2.9184549356e+02 8.7553648069e+02 8.5894889343e+01 6.9007696859e+00 5.0086231591e+01 5.5496217308e+01 -4.1602220146e+01 2.7748108654e+01 2.2338122937e+01 1.6635972122e+06 6.1047676249e+05 2.0349225416e+05 1.7650129485e+08 1.0481649661e-02 -5.8330953387e+08 2SC 1 3.1238766016e-05
2.9277539342e+02 8.7832618026e+02 8.6220817688e+01 7.0535374063e+00 5.1195029562e+01 5.6183080355e+01 -4.2643511984e+01 2.8091540178e+01 2.3103489384e+01 2.3988431117e+06 7.9254039974e+05 2.6418013325e+05 2.2963748422e+08 1.3984781306e-01 -5.8404477977e+08 2SC 1 1.5730251247e-05
2.9370529328e+02 8.8111587983e+02 8.6090433274e+01 7.1753740069e+00 5.2079327469e+01 5.7616522307e+01 -4.2495297336e+01 2.8808261154e+01 2.3271066316e+01 3.1375636209e+06 8.0915718266e+05 2.6971906089e+05 2.3451618402e+08 1.4531235956e-01 -5.8478350027e+08 2SC 1 4.1402485941e-06
2.9463519313e+02 8.8390557940e+02 7.9483059977e+01 9.9932543446e+00 7.2531684759e+01 8.3863335851e+01 -4.6555398795e+01 4.1931667926e+01 3.0600016833e+01 3.9037134085e+06 1.1845313678e+06 3.9484378928e+05 3.4510091493e+08 1.0505242616e-02 -5.8554965006e+08 2SC 1 2.5607252069e-05
2.9556509299e+02 8.8669527897e+02 7.9738967707e+01 9.8889990765e+00 7.1774993297e+01 8.3547882438e+01 -4.5875762759e+01 4.1773941219e+01 3.0001052078e+01 5.3405547199e+06 1.5364405110e+06 5.1214683699e+05 4.4877762778e+08 2.2927444562e-02 -5.8698649137e+08 2SC 1 6.2551566227e-06
2.9649499285e+02 8.8948497854e+02 7.9738967707e+01 9.8889990765e+00 7.1774993297e+01 8.4151749254e+01 -4.5365514914e+01 4.2075874627e+01 2.9699118670e+01 6.7611850312e+06 1.7109402959e+06 5.7031343196e+05 5.0052404576e+08 2.3905094171e-02 -5.8840712169e+08 2SC 1 4.7225629296e-06
2.9742489270e+02 8.9227467811e+02 7.6936943239e+01 1.1111032636e+01 8.0644591711e+01 9.4816763213e+01 -4.7197273034e+01 4.7408381606e+01 3.3236210104e+01 8.5225609926e+06 2.0671759603e+06 6.8905865342e+05 6.0630702719e+08 1.8304603965e-02 -5.9016849765e+08 2SC 1 5.0090895926e-06
2.9835479256e+02 8.9506437768e+02 7.1404918666e+01 1.2832844393e+01 9.3141612531e+01 1.1157068013e+02 -4.7943428307e+01 5.5785340064e+01 3.7356272467e+01 1.0605718291e+07 2.4179078760e+06 8.0596929199e+05 7.1078868447e+08 2.8711245660e-02 -5.9225165494e+08 2SC 1 1.8371673777e-06
2.9928469242e+02 8.9785407725e+02 6.9952612956e+01 1.3153711322e+01 9.5470485402e+01 1.1578823118e+02 -4.7300335224e+01 5.7894115592e+01 3.7576369809e+01 1.3019385369e+07 2.6517258913e+06 8.8390863044e+05 7.8060158240e+08 9.8025249971e-02 -5.9466532202e+08 2SC 1 1.7276658890e-05
3.0021459227e+02 9.0064377682e+02 6.9952612956e+01 1.3153711322e+01 9.5470485402e+01 1.1637860172e+02 -4.6900954830e+01 5.8189300859e+01 3.7281184542e+01 1.5537397345e+07 2.7232802501e+06 9.0776008335e+05 8.0203107258e+08 1.0772987310e-01 -5.9718333400e+08 2SC 1 3.6539034654e-05
3.0114449213e+02 9.0343347639e+02 6.9952612956e+01 1.3153711322e+01 9.5470485402e+01 1.1696970405e+02 -4.6504437900e+01 5.8484852025e+01 3.6985633377e+01 1.8084141198e+07 3.4193160792e+06 1.1397720264e+06 1.0116240629e+09 2.2440187234e-02 -5.9973007785e+08 2SC 1 6.9442831408e-06
3.0207439199e+02 9.0622317597e+02 6.2394423863e+01 1.4884450328e+01 1.0803230077e+02 1.3524721231e+02 -4.5872789566e+01 6.7623606153e+01 4.0408694614e+01 2.1896640410e+07 3.8579238396e+06 1.2859746132e+06 1.1434833578e+09 1.8375427936e-01 -6.0354257706e+08 2SC 1 2.5193624252e-05
3.0300429185e+02 9.0901287554e+02 5.6707818253e+01 1.6169839439e+01 1.1736173786e+02 1.4762216269e+02 -4.5711003989e+01 7.3811081344e+01 4.3550656519e+01 2.5259106851e+07 3.9117963514e+06 1.3039321171e+06 1.1600319765e+09 1.7839191949e-01 -6.0690504351e+08 2SC 1 5.9939957072e-05
3.0393419170e+02 9.1180257511e+02 5.7382487706e+01 1.6125102706e+01 1.1703703577e+02 1.4705672577e+02 -4.5768909112e+01 7.3528362886e+01 4.3508672885e+01 2.9171798145e+07 4.2090394470e+06 1.4030131490e+06 1.2500992040e+09 9.4858745725e-02 -6.1081773480e+08 2SC 1 1.7932653770e-05
3.0486409156e+02 9.1459227468e+02 5.4793112013e+01 1.6362070755e+01 1.1875696516e+02 1.5196078963e+02 -4.4306514679e+01 7.5980394815e+01 4.2776570345e+01 3.3087077211e+07 4.3213079903e+06 1.4404359968e+06 1.2843245576e+09 9.5690344951e-02 -6.1473301386e+08 2SC 1 2.7888319170e-05
3.0579399142e+02 9.1738197425e+02 5.1165975408e+01 1.7118821811e+01 1.2424951314e+02 1.5903578617e+02 -4.4149671059e+01 7.9517893085e+01 4.4731620055e+01 3.7208565509e+07 4.6440324733e+06 1.5480108244e+06 1.3829086608e+09 5.6862892127e-02 -6.1885450216e+08 2SC 1 5.7154215562e-05
3.0672389127e+02 9.2017167382e+02 5.1375035222e+01 1.7253928662e+01 1.2523012738e+02 1.5952534929e+02 -4.4482411437e+01 7.9762674646e+01 4.5467452739e+01 4.1724047476e+07 4.8639590073e+06 1.6213196691e+06 1.4501683862e+09 8.7656389744e-02 -6.2336998413e+08 2SC 1 3.6428414826e-05
3.0765379113e+02 9.2296137339e+02 5.1375035222e+01 1.7253928662e+01 1.2523012738e+02 1.6006378900e+02 -4.4186604932e+01 8.0031894500e+01 4.5198232885e+01 4.6254555079e+07 5.0093511744e+06 1.6697837248e+06 1.4948913248e+09 8.8710308091e-02 -6.2790049173e+08 2SC 1 2.4061642345e-05
