# tag=combo1
# g_delta_factor=2.5000
# m_delta_mev=500.0
# lambda_3_factor=2.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# omega_vac_mev4=-5.8164593665e+08
# num_raw_points=700
# mu_min_mev=250.0
# mu_max_mev=900.0
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.5836909871e+02 7.7510729614e+02 9.2999999619e+01 1.7443324657e-05 1.4067197304e-04 5.4708174956e-01 0.0000000000e+00 2.7354087478e-01 -2.7340020281e-01 3.6001205444e-05 1.1367573463e-01 3.7891911543e-02 2.9370261101e+01 1.8512739072e-03 -5.8164593665e+08 normal 1 2.5148478308e-04
2.7696709585e+02 8.3090128755e+02 9.3003036414e+01 8.4518375356e-03 6.8159980126e-02 1.8080620710e+00 0.0000000000e+00 9.0403103552e-01 -8.3587105540e-01 3.5564882755e+00 7.0584568969e+00 2.3528189656e+00 1.9514038197e+03 1.8494442811e-03 -5.8164594021e+08 normal 1 3.3194373012e-01
2.8161659514e+02 8.4484978541e+02 9.2920401524e+01 7.3949520535e-01 5.9636710109e+00 3.4700128423e+00 -3.0689440152e+01 1.7350064211e+00 4.2286645897e+00 1.7844879464e+03 7.5564468448e+03 2.5188156149e+03 2.1262363438e+06 1.3667492970e-03 -5.8164772114e+08 2SC 1 9.2846258209e-10
2.8254649499e+02 8.4763948498e+02 9.2730708056e+01 1.3159290280e+00 1.0612330871e+01 7.3697788400e+00 -3.2382514077e+01 3.6848894200e+00 6.9274414513e+00 1.4051817433e+04 2.4540812714e+04 8.1802709045e+03 6.9198687991e+06 3.4281163626e-03 -5.8165998847e+08 2SC 1 4.0945810682e-08
2.8347639485e+02 8.5042918455e+02 9.2547422826e+01 1.5826953734e+00 1.2763672366e+01 9.4957299390e+00 -3.2317059768e+01 4.7478649695e+00 8.0158073966e+00 4.7425484409e+04 4.9562660922e+04 1.6520886974e+04 1.4002418953e+07 5.7615510539e-03 -5.8169336214e+08 2SC 1 2.8502724689e-07
2.8440629471e+02 8.5321888412e+02 9.2264378174e+01 2.0568654253e+00 1.6587624398e+01 1.3317739451e+01 -3.3594896814e+01 6.6588697253e+00 9.9287546724e+00 1.0622844003e+05 7.9121580376e+04 2.6373860125e+04 2.2396447066e+07 6.9672794079e-03 -5.8175216509e+08 2SC 1 3.1612664309e-07
2.8533619456e+02 8.5600858369e+02 9.1655134111e+01 2.6623556500e+00 2.1470610081e+01 1.8592253425e+01 -3.4955879693e+01 9.2961267123e+00 1.2174483368e+01 1.9457577695e+05 1.2398611425e+05 4.1328704750e+04 3.5183150242e+07 7.9093934107e-03 -5.8184051243e+08 2SC 1 2.7472945522e-07
2.8626609442e+02 8.5879828326e+02 9.1445679415e+01 3.0951516761e+00 2.4960900614e+01 2.2266608253e+01 -3.6604680750e+01 1.1133304127e+01 1.3827596487e+01 3.3681777984e+05 1.7851480142e+05 5.9504933806e+04 5.0765917218e+07 1.0176113269e-02 -5.8198275443e+08 2SC 1 2.5382815653e-06
2.8719599428e+02 8.6158798283e+02 9.0820775075e+01 3.6800774566e+00 2.9678044005e+01 2.7572035576e+01 -3.8174597579e+01 1.3786017788e+01 1.5892026217e+01 5.2657755355e+05 2.3704382602e+05 7.9014608673e+04 6.7551459747e+07 1.1236921852e-02 -5.8217251421e+08 2SC 1 9.4264972820e-06
2.8812589413e+02 8.6437768240e+02 9.0437943821e+01 4.0351165745e+00 3.2541262698e+01 3.0973075825e+01 -3.8845882023e+01 1.5486537912e+01 1.7054724786e+01 7.7767181965e+05 3.1534013391e+05 1.0511337797e+05 9.0079986221e+07 1.1934530139e-02 -5.8242360847e+08 2SC 1 4.3991772677e-07
2.8905579399e+02 8.6716738197e+02 8.9350704271e+01 4.7699914853e+00 3.8467673268e+01 3.7990360751e+01 -4.0487477514e+01 1.8995180376e+01 1.9472492893e+01 1.1130470444e+06 4.0578720094e+05 1.3526240031e+05 1.1618209451e+08 1.3156101315e-02 -5.8275898370e+08 2SC 1 1.0807918921e-05
2.8998569385e+02 8.6995708155e+02 8.8138948346e+01 5.4001928710e+00 4.3549942508e+01 4.4524796347e+01 -4.1222168268e+01 2.2262398173e+01 2.1287544335e+01 1.5323547398e+06 5.1287020846e+05 1.7095673615e+05 1.4719266851e+08 1.5205282219e-02 -5.8317829139e+08 2SC 1 3.1787901399e-06
2.9091559371e+02 8.7274678112e+02 8.7169586217e+01 6.1447033179e+00 4.9554059016e+01 5.1152065061e+01 -4.3488367263e+01 2.5576032530e+01 2.3978026485e+01 2.0668829113e+06 6.2165771355e+05 2.0721923785e+05 1.7878303991e+08 3.2406200669e-02 -5.8371281957e+08 2SC 1 5.1200529665e-06
2.9184549356e+02 8.7553648069e+02 8.7169586217e+01 6.1447033179e+00 4.9554059016e+01 5.1706646268e+01 -4.2797763475e+01 2.5853323134e+01 2.3700735882e+01 2.6885135776e+06 6.7502977744e+05 2.2500992581e+05 1.9431588499e+08 3.4499657757e-02 -5.8433445023e+08 2SC 1 2.2104518378e-05
2.9277539342e+02 8.7832618026e+02 8.7169586217e+01 6.1447033179e+00 4.9554059016e+01 5.2266940974e+01 -4.2116000119e+01 2.6133470487e+01 2.3420588529e+01 3.3223030983e+06 9.2252806599e+05 3.0750935533e+05 2.6677121436e+08 9.1893586464e-03 -5.8496823975e+08 2SC 1 9.4899901944e-07
2.9370529328e+02 8.8111587983e+02 8.0359207414e+01 9.0553859140e+00 7.3027305758e+01 8.0511877858e+01 -4.7110956481e+01 4.0255938929e+01 3.2771366829e+01 4.4042310108e+06 1.2969356825e+06 4.3231189418e+05 3.7651264399e+08 2.5419632792e-02 -5.8605016766e+08 2SC 1 1.3953887554e-05
2.9463519313e+02 8.8390557940e+02 8.0359207414e+01 9.0553859140e+00 7.3027305758e+01 8.1113742185e+01 -4.6586663880e+01 4.0556871093e+01 3.2470434666e+01 5.7343437096e+06 1.4410285733e+06 4.8034285777e+05 4.1884338829e+08 2.7354784982e-02 -5.8738028036e+08 2SC 1 1.6229662600e-05
2.9556509299e+02 8.8669527897e+02 8.0359207414e+01 9.0553859140e+00 7.3027305758e+01 8.1717951779e+01 -4.6067596276e+01 4.0858975889e+01 3.2168329869e+01 7.0842555391e+06 1.6559717567e+06 5.5199058558e+05 4.8236319073e+08 2.0449733499e-02 -5.8873019219e+08 2SC 1 8.4647319965e-06
2.9649499285e+02 8.8948497854e+02 7.5862266805e+01 1.0472586026e+01 8.4456338917e+01 9.6754529939e+01 -4.6736073027e+01 4.8377264969e+01 3.6079073948e+01 8.8141195089e+06 1.9586138382e+06 6.5287127940e+05 5.7190507644e+08 3.0666867363e-02 -5.9046005616e+08 2SC 1 1.4644790020e-05
2.9742489270e+02 8.9227467811e+02 7.3798832795e+01 1.1042299909e+01 8.9050805714e+01 1.0334614925e+02 -4.6495908391e+01 5.1673074625e+01 3.7377731089e+01 1.0726884995e+07 2.1318663631e+06 7.1062212105e+05 6.2334323932e+08 3.1778096291e-02 -5.9237282165e+08 2SC 1 2.7491825900e-06
2.9835479256e+02 8.9506437768e+02 7.3798832795e+01 1.1042299909e+01 8.9050805714e+01 1.0394922710e+02 -4.6065250276e+01 5.1974613548e+01 3.7076192166e+01 1.2778963961e+07 2.4454544018e+06 8.1515146726e+05 7.1683407680e+08 3.0038237943e-02 -5.9442490061e+08 2SC 1 6.7497327413e-06
2.9928469242e+02 8.9785407725e+02 7.0625339287e+01 1.1943252402e+01 9.6316551631e+01 1.1341762299e+02 -4.6230779809e+01 5.6708811497e+01 3.9607740134e+01 1.5274940392e+07 2.6776543444e+06 8.9255144813e+05 7.8610601647e+08 3.1675624223e-02 -5.9692087705e+08 2SC 1 2.4045036784e-05
3.0021459227e+02 9.0064377682e+02 6.4952246573e+01 1.3627740745e+01 1.0990113504e+02 1.2877727908e+02 -4.7355900400e+01 6.4388639538e+01 4.5512495505e+01 1.7758864745e+07 3.0012572186e+06 1.0004190729e+06 8.8326234744e+08 2.6017603435e-02 -5.9940480140e+08 2SC 1 2.2286720034e-06
3.0114449213e+02 9.0343347639e+02 6.3136498304e+01 1.3734601009e+01 1.1076291137e+02 1.3273707515e+02 -4.5673884510e+01 6.6368537577e+01 4.4394373788e+01 2.0856677708e+07 3.3895888240e+06 1.1298629413e+06 9.9989932723e+08 5.6585300414e-02 -6.0250261436e+08 2SC 1 3.4217053546e-07
3.0207439199e+02 9.0622317597e+02 6.3136498304e+01 1.3734601009e+01 1.1076291137e+02 1.3331190707e+02 -4.5325379845e+01 6.6655953533e+01 4.4106957832e+01 2.4062821070e+07 3.5444554468e+06 1.1814851489e+06 1.0466264029e+09 6.2128052225e-02 -6.0570875772e+08 2SC 1 2.8450753511e-05
3.0300429185e+02 9.0901287554e+02 6.0884701948e+01 1.4049129358e+01 1.1329943031e+02 1.3836820042e+02 -4.4234529686e+01 6.9184100211e+01 4.4115330099e+01 2.7448654934e+07 3.7543511328e+06 1.2514503776e+06 1.1101358514e+09 5.2425583901e-02 -6.0909459159e+08 2SC 1 9.2420678855e-06
3.0393419170e+02 9.1180257511e+02 5.9147178607e+01 1.4425055998e+01 1.1633109676e+02 1.4256344416e+02 -4.3925830410e+01 7.1281722078e+01 4.5049374677e+01 3.1045162232e+07 3.9846931885e+06 1.3282310628e+06 1.1800393412e+09 6.4752449704e-02 -6.1269109889e+08 2SC 1 3.1815272544e-05
3.0486409156e+02 9.1459227468e+02 5.6814161184e+01 1.4885754460e+01 1.2004640694e+02 1.4771612763e+02 -4.3504287235e+01 7.3858063817e+01 4.6188343122e+01 3.4859386186e+07 4.1529951476e+06 1.3843317159e+06 1.2312397067e+09 6.5290467030e-02 -6.1650532284e+08 2SC 1 1.3355200257e-05
3.0579399142e+02 9.1738197425e+02 5.6814161184e+01 1.4885754460e+01 1.2004640694e+02 1.4827329218e+02 -4.3191664470e+01 7.4136646089e+01 4.5909760850e+01 3.8768901419e+07 4.4004747798e+06 1.4668249266e+06 1.3068698456e+09 5.9944627083e-02 -6.2041483807e+08 2SC 1 3.2654721022e-05
3.0672389127e+02 9.2017167382e+02 5.3309198607e+01 1.5556634053e+01 1.2545672623e+02 1.5528849916e+02 -4.2757135685e+01 7.7644249580e+01 4.7812476653e+01 4.3043387922e+07 4.6093343314e+06 1.5364447771e+06 1.3707495744e+09 7.3590130081e-02 -6.2468932458e+08 2SC 1 3.9184714984e-05
3.0765379113e+02 9.2296137339e+02 5.3309198607e+01 1.5556634053e+01 1.2545672623e+02 1.5583534730e+02 -4.2459416918e+01 7.7917673649e+01 4.7539052585e+01 4.7341340090e+07 4.7856355869e+06 1.5952118623e+06 1.4249775912e+09 7.4032954599e-02 -6.2898727674e+08 2SC 1 3.1851859560e-05
3.0858369099e+02 9.2575107296e+02 4.9486306241e+01 1.6175267647e+01 1.3044570683e+02 1.6271675389e+02 -4.1759806689e+01 8.1358376946e+01 4.9087329882e+01 5.1943711617e+07 5.0072132892e+06 1.6690710964e+06 1.4932006467e+09 8.6005491081e-02 -6.3358964827e+08 2SC 1 1.5617621491e-05
3.0951359084e+02 9.2854077253e+02 4.8957489249e+01 1.6275871993e+01 1.3125703220e+02 1.6411461197e+02 -4.1483520921e+01 8.2057305986e+01 4.9199726215e+01 5.6653753933e+07 5.1611852061e+06 1.7203950687e+06 1.5408032122e+09 1.1651498718e-01 -6.3829969059e+08 2SC 1 2.5405387803e-05
3.1044349070e+02 9.3133047210e+02 4.7355583482e+01 1.6372021612e+01 1.3203243236e+02 1.6686425392e+02 -4.0540724303e+01 8.3432126958e+01 4.8600305399e+01 6.1542482387e+07 5.2822763529e+06 1.7607587843e+06 1.5783058275e+09 1.1817368427e-01 -6.4318841904e+08 2SC 1 4.3916341942e-05
3.1137339056e+02 9.3412017167e+02 4.7355583482e+01 1.6372021612e+01 1.3203243236e+02 1.6739580473e+02 -4.0265954657e+01 8.3697902363e+01 4.8334529995e+01 6.6477729982e+07 5.4369279627e+06 1.8123093209e+06 1.6264369640e+09 8.9370068881e-02 -6.4812366664e+08 2SC 1 4.3533112572e-05
3.1230329041e+02 9.3690987124e+02 4.5842517385e+01 1.6542280593e+01 1.3340548866e+02 1.7007181044e+02 -3.9674362247e+01 8.5035905222e+01 4.8369583433e+01 7.1654079456e+07 5.6782912180e+06 1.8927637393e+06 1.7016949519e+09 1.0354191770e-01 -6.5330001611e+08 2SC 1 2.3300497194e-05
3.1323319027e+02 9.3969957082e+02 4.2545245636e+01 1.7068961747e+01 1.3765291732e+02 1.7525579368e+02 -3.9303105445e+01 8.7627896838e+01 5.0025020477e+01 7.7038214365e+07 5.8176316571e+06 1.9392105524e+06 1.7452371094e+09 1.3942550487e-01 -6.5868415102e+08 2SC 1 5.1873879140e-05
3.1416309013e+02 9.4248927039e+02 4.2545245636e+01 1.7068961747e+01 1.3765291732e+02 1.7577562813e+02 -3.9042349267e+01 8.7887814065e+01 4.9765103251e+01 8.2473709148e+07 5.9312783527e+06 1.9770927842e+06 1.7809150265e+09 1.4117265580e-01 -6.6411964580e+08 2SC 1 5.0947088295e-05
3.1509298999e+02 9.4527896996e+02 4.0359772968e+01 1.7334084684e+01 1.3979100552e+02 1.7906320581e+02 -3.8508747254e+01 8.9531602906e+01 5.0259402610e+01 8.8069204148e+07 6.0709044001e+06 2.0236348000e+06 1.8248302152e+09 1.3528061056e-01 -6.6971514080e+08 2SC 1 4.4891464115e-05
3.1602288984e+02 9.4806866953e+02 3.8872006745e+01 1.7529392506e+01 1.4136606859e+02 1.8139790381e+02 -3.8141580856e+01 9.0698951907e+01 5.0667116687e+01 9.3764375414e+07 6.1975803579e+06 2.0658601193e+06 1.8648128793e+09 1.4259290627e-01 -6.7541031207e+08 2SC 1 4.1922388734e-05
3.1695278970e+02 9.5085836910e+02 3.8872006745e+01 1.7529392506e+01 1.4136606859e+02 1.8190983087e+02 -3.7890609924e+01 9.0954915434e+01 5.0411153161e+01 9.9595462325e+07 6.3266745036e+06 2.1088915012e+06 1.9056616711e+09 1.4269232804e-01 -6.8124139898e+08 2SC 1 1.5853486198e-05
3.1788268956e+02 9.5364806867e+02 3.7727545294e+01 1.7760319124e+01 1.4322838003e+02 1.8387721522e+02 -3.7808749898e+01 9.1938607610e+01 5.1289772421e+01 1.0553072285e+08 6.4577400314e+06 2.1525800105e+06 1.9472730468e+09 1.4233664680e-01 -6.8717665950e+08 2SC 1 3.4337054027e-07
3.1881258941e+02 9.5643776824e+02 3.6208540861e+01 1.7901856995e+01 1.4436981448e+02 1.8603805771e+02 -3.7316103884e+01 9.3019028857e+01 5.1350785620e+01 1.1160556539e+08 6.5921183734e+06 2.1973727911e+06 1.9900447629e+09 1.5759973553e-01 -6.9325150204e+08 2SC 1 5.4807515199e-05
3.1974248927e+02 9.5922746781e+02 3.5503317988e+01 1.7879647189e+01 1.4419070314e+02 1.8717677140e+02 -3.6714029187e+01 9.3588385698e+01 5.0602317441e+01 1.1779074271e+08 6.7055584263e+06 2.2351861421e+06 2.0262612005e+09 1.7941337201e-01 -6.9943667936e+08 2SC 1 4.9806050718e-05
