# pipeline=simple
# diagnostic=speed_of_sound_squared
# definition=c_s^2=(dP/dmu_q)/(depsilon/dmu_q) on the P>=0 branch
# units=mu_q in MeV; c_s^2 dimensionless
# m_sigma_1_mev=500.000000
# m_sigma_2_mev=600.000000
# m_sigma_3_mev=700.000000
# columns=mu_q_mev_sigma_500 c_s2_sigma_500 mu_q_mev_sigma_600 c_s2_sigma_600 mu_q_mev_sigma_700 c_s2_sigma_700
3.822e+02 3.286e-01 3.872e+02 3.220e-01 3.872e+02 1.694e-01
3.835e+02 3.287e-01 3.885e+02 3.226e-01 3.885e+02 1.797e-01
3.847e+02 3.289e-01 3.897e+02 3.230e-01 3.897e+02 1.897e-01
3.860e+02 3.290e-01 3.910e+02 3.235e-01 3.910e+02 1.995e-01
3.872e+02 3.292e-01 3.922e+02 3.239e-01 3.922e+02 2.088e-01
3.885e+02 3.293e-01 3.935e+02 3.243e-01 3.935e+02 2.177e-01
3.897e+02 3.294e-01 3.947e+02 3.247e-01 3.947e+02 2.261e-01
3.910e+02 3.296e-01 3.960e+02 3.251e-01 3.960e+02 2.339e-01
3.922e+02 3.297e-01 3.972e+02 3.254e-01 3.972e+02 2.413e-01
3.935e+02 3.298e-01 3.985e+02 3.257e-01 3.985e+02 2.481e-01
3.947e+02 3.299e-01 3.997e+02 3.260e-01 3.997e+02 2.544e-01
3.960e+02 3.300e-01 4.010e+02 3.263e-01 4.010e+02 2.603e-01
3.972e+02 3.301e-01 4.023e+02 3.266e-01 4.023e+02 2.657e-01
3.985e+02 3.302e-01 4.035e+02 3.269e-01 4.035e+02 2.707e-01
3.997e+02 3.303e-01 4.048e+02 3.271e-01 4.048e+02 2.752e-01
4.010e+02 3.304e-01 4.060e+02 3.274e-01 4.060e+02 2.794e-01
4.023e+02 3.305e-01 4.073e+02 3.276e-01 4.073e+02 2.833e-01
4.035e+02 3.306e-01 4.085e+02 3.278e-01 4.085e+02 2.868e-01
4.048e+02 3.306e-01 4.098e+02 3.280e-01 4.098e+02 2.901e-01
4.060e+02 3.307e-01 4.110e+02 3.282e-01 4.110e+02 2.931e-01
4.073e+02 3.308e-01 4.123e+02 3.284e-01 4.123e+02 2.958e-01
4.085e+02 3.309e-01 4.135e+02 3.286e-01 4.135e+02 2.983e-01
4.098e+02 3.309e-01 4.148e+02 3.288e-01 4.148e+02 3.006e-01
4.110e+02 3.310e-01 4.160e+02 3.289e-01 4.160e+02 3.028e-01
4.123e+02 3.311e-01 4.173e+02 3.291e-01 4.173e+02 3.048e-01
4.135e+02 3.311e-01 4.185e+02 3.292e-01 4.185e+02 3.066e-01
4.148e+02 3.312e-01 4.198e+02 3.294e-01 4.198e+02 3.082e-01
