# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=400.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=3.138943658406e+08
# B0_gev_fm3=4.085301464549e-02
# B_mev4=9.115287385268e+07
# B_gev_fm3=1.186344864939e-02
# B_1_4_mev=97.710805
# B_min_mev4=1.345975290658e+08
# B_min_gev_fm3=1.751772387328e-02
# B_min_1_4_mev=107.710805
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
1.679e-04 1.932e+09 2.515e-01 9.590e+00 7.148e-01 1.000e+00
1.813e-04 1.966e+09 2.558e-01 9.790e+00 7.657e-01 1.000e+00
1.958e-04 2.002e+09 2.605e-01 9.980e+00 8.173e-01 1.000e+00
2.115e-04 2.040e+09 2.655e-01 1.017e+01 8.715e-01 1.000e+00
2.284e-04 2.082e+09 2.710e-01 1.036e+01 9.286e-01 1.000e+00
2.467e-04 2.127e+09 2.768e-01 1.053e+01 9.838e-01 1.000e+00
2.664e-04 2.175e+09 2.830e-01 1.070e+01 1.042e+00 1.000e+00
2.878e-04 2.227e+09 2.898e-01 1.087e+01 1.102e+00 1.000e+00
3.108e-04 2.282e+09 2.971e-01 1.102e+01 1.160e+00 1.000e+00
3.356e-04 2.343e+09 3.049e-01 1.117e+01 1.220e+00 1.000e+00
3.625e-04 2.407e+09 3.133e-01 1.131e+01 1.280e+00 1.000e+00
3.915e-04 2.477e+09 3.224e-01 1.143e+01 1.337e+00 1.000e+00
4.228e-04 2.552e+09 3.322e-01 1.155e+01 1.396e+00 1.000e+00
4.566e-04 2.633e+09 3.427e-01 1.166e+01 1.454e+00 1.000e+00
4.932e-04 2.720e+09 3.540e-01 1.176e+01 1.511e+00 1.000e+00
5.326e-04 2.814e+09 3.663e-01 1.185e+01 1.566e+00 1.000e+00
5.752e-04 2.915e+09 3.794e-01 1.193e+01 1.620e+00 1.000e+00
6.212e-04 3.025e+09 3.936e-01 1.199e+01 1.669e+00 1.000e+00
6.709e-04 3.142e+09 4.090e-01 1.205e+01 1.719e+00 1.000e+00
7.246e-04 3.269e+09 4.255e-01 1.210e+01 1.766e+00 1.000e+00
7.826e-04 3.406e+09 4.433e-01 1.214e+01 1.811e+00 1.000e+00
8.452e-04 3.554e+09 4.625e-01 1.216e+01 1.850e+00 1.000e+00
9.128e-04 3.713e+09 4.832e-01 1.218e+01 1.890e+00 1.000e+00
9.858e-04 3.885e+09 5.056e-01 1.219e+01 1.926e+00 1.000e+00
1.065e-03 4.070e+09 5.297e-01 1.219e+01 1.960e+00 1.000e+00
1.150e-03 4.270e+09 5.557e-01 1.218e+01 1.989e+00 1.000e+00
1.242e-03 4.486e+09 5.838e-01 1.216e+01 2.016e+00 1.000e+00
1.341e-03 4.719e+09 6.141e-01 1.213e+01 2.038e+00 1.000e+00
1.448e-03 4.970e+09 6.469e-01 1.210e+01 2.060e+00 1.000e+00
1.564e-03 5.242e+09 6.822e-01 1.206e+01 2.078e+00 1.000e+00
1.690e-03 5.535e+09 7.203e-01 1.201e+01 2.092e+00 1.000e+00
1.825e-03 5.851e+09 7.615e-01 1.196e+01 2.106e+00 1.000e+00
1.971e-03 6.192e+09 8.059e-01 1.190e+01 2.115e+00 1.000e+00
