# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=500.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=4.033789244638e+08
# B0_gev_fm3=5.249933385925e-02
# B_mev4=3.104505477568e+07
# B_gev_fm3=4.040480541995e-03
# B_1_4_mev=74.644551
# B_min_mev4=5.133292528459e+07
# B_min_gev_fm3=6.680925103039e-03
# B_min_1_4_mev=84.644551
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
8.589e-07 1.496e+09 1.947e-01 9.100e-01 5.499e-04 1.000e+00
9.276e-07 1.496e+09 1.947e-01 9.500e-01 6.257e-04 1.000e+00
1.002e-06 1.496e+09 1.947e-01 9.900e-01 7.082e-04 1.000e+00
1.082e-06 1.497e+09 1.948e-01 1.020e+00 7.746e-04 1.000e+00
1.169e-06 1.497e+09 1.948e-01 1.060e+00 8.694e-04 1.000e+00
1.262e-06 1.497e+09 1.949e-01 1.110e+00 9.984e-04 1.000e+00
1.363e-06 1.498e+09 1.949e-01 1.150e+00 1.110e-03 1.000e+00
1.472e-06 1.498e+09 1.950e-01 1.190e+00 1.231e-03 1.000e+00
1.590e-06 1.499e+09 1.950e-01 1.240e+00 1.392e-03 1.000e+00
1.717e-06 1.499e+09 1.951e-01 1.290e+00 1.568e-03 1.000e+00
1.854e-06 1.500e+09 1.952e-01 1.340e+00 1.758e-03 1.000e+00
2.003e-06 1.500e+09 1.953e-01 1.390e+00 1.962e-03 1.000e+00
2.163e-06 1.501e+09 1.954e-01 1.440e+00 2.182e-03 1.000e+00
2.336e-06 1.502e+09 1.954e-01 1.500e+00 2.467e-03 1.000e+00
2.523e-06 1.502e+09 1.955e-01 1.560e+00 2.775e-03 1.000e+00
2.725e-06 1.503e+09 1.956e-01 1.620e+00 3.109e-03 1.000e+00
2.943e-06 1.504e+09 1.958e-01 1.680e+00 3.468e-03 1.000e+00
3.178e-06 1.505e+09 1.959e-01 1.740e+00 3.854e-03 1.000e+00
3.432e-06 1.506e+09 1.960e-01 1.810e+00 4.339e-03 1.000e+00
3.707e-06 1.507e+09 1.962e-01 1.880e+00 4.864e-03 1.000e+00
4.003e-06 1.508e+09 1.963e-01 1.950e+00 5.429e-03 1.000e+00
4.324e-06 1.510e+09 1.965e-01 2.030e+00 6.127e-03 1.000e+00
4.670e-06 1.511e+09 1.967e-01 2.100e+00 6.786e-03 1.000e+00
5.043e-06 1.512e+09 1.968e-01 2.180e+00 7.594e-03 1.000e+00
5.447e-06 1.514e+09 1.971e-01 2.270e+00 8.578e-03 1.000e+00
5.882e-06 1.516e+09 1.973e-01 2.350e+00 9.522e-03 1.000e+00
6.353e-06 1.518e+09 1.975e-01 2.440e+00 1.066e-02 1.000e+00
6.861e-06 1.520e+09 1.978e-01 2.530e+00 1.189e-02 1.000e+00
7.410e-06 1.522e+09 1.981e-01 2.630e+00 1.337e-02 1.000e+00
8.003e-06 1.524e+09 1.984e-01 2.730e+00 1.496e-02 1.000e+00
8.643e-06 1.527e+09 1.987e-01 2.830e+00 1.668e-02 1.000e+00
9.334e-06 1.529e+09 1.990e-01 2.940e+00 1.871e-02 1.000e+00
1.008e-05 1.532e+09 1.994e-01 3.050e+00 2.091e-02 1.000e+00
1.089e-05 1.535e+09 1.998e-01 3.160e+00 2.327e-02 1.000e+00
1.176e-05 1.538e+09 2.002e-01 3.280e+00 2.605e-02 1.000e+00
1.270e-05 1.542e+09 2.007e-01 3.400e+00 2.904e-02 1.000e+00
1.372e-05 1.546e+09 2.012e-01 3.520e+00 3.226e-02 1.000e+00
1.481e-05 1.550e+09 2.017e-01 3.650e+00 3.600e-02 1.000e+00
1.600e-05 1.554e+09 2.023e-01 3.780e+00 4.004e-02 1.000e+00
1.728e-05 1.559e+09 2.029e-01 3.920e+00 4.471e-02 1.000e+00
1.866e-05 1.564e+09 2.036e-01 4.060e+00 4.974e-02 1.000e+00
2.015e-05 1.570e+09 2.043e-01 4.200e+00 5.514e-02 1.000e+00
