# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=500.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=4.033789244638e+08
# B0_gev_fm3=5.249933385925e-02
# B_mev4=5.133292528459e+07
# B_gev_fm3=6.680925103039e-03
# B_1_4_mev=84.644551
# B_min_mev4=5.133292528459e+07
# B_min_gev_fm3=6.680925103039e-03
# B_min_1_4_mev=84.644551
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
5.276e-07 1.613e+09 2.099e-01 6.700e-01 2.369e-04 1.000e+00
5.698e-07 1.613e+09 2.099e-01 6.900e-01 2.587e-04 1.000e+00
6.153e-07 1.613e+09 2.100e-01 7.200e-01 2.940e-04 1.000e+00
6.646e-07 1.613e+09 2.100e-01 7.500e-01 3.323e-04 1.000e+00
7.177e-07 1.614e+09 2.100e-01 7.700e-01 3.596e-04 1.000e+00
7.751e-07 1.614e+09 2.100e-01 8.100e-01 4.186e-04 1.000e+00
8.372e-07 1.614e+09 2.101e-01 8.400e-01 4.669e-04 1.000e+00
9.041e-07 1.614e+09 2.101e-01 8.700e-01 5.187e-04 1.000e+00
9.765e-07 1.615e+09 2.101e-01 9.000e-01 5.743e-04 1.000e+00
1.055e-06 1.615e+09 2.102e-01 9.400e-01 6.544e-04 1.000e+00
1.139e-06 1.615e+09 2.102e-01 9.700e-01 7.191e-04 1.000e+00
1.230e-06 1.615e+09 2.102e-01 1.010e+00 8.119e-04 1.000e+00
1.328e-06 1.616e+09 2.103e-01 1.050e+00 9.123e-04 1.000e+00
1.435e-06 1.616e+09 2.103e-01 1.090e+00 1.021e-03 1.000e+00
1.550e-06 1.617e+09 2.104e-01 1.130e+00 1.137e-03 1.000e+00
1.673e-06 1.617e+09 2.104e-01 1.180e+00 1.295e-03 1.000e+00
1.807e-06 1.617e+09 2.105e-01 1.220e+00 1.432e-03 1.000e+00
1.952e-06 1.618e+09 2.106e-01 1.270e+00 1.615e-03 1.000e+00
2.108e-06 1.618e+09 2.106e-01 1.320e+00 1.814e-03 1.000e+00
2.277e-06 1.619e+09 2.107e-01 1.370e+00 2.028e-03 1.000e+00
2.459e-06 1.620e+09 2.108e-01 1.430e+00 2.307e-03 1.000e+00
2.656e-06 1.620e+09 2.109e-01 1.480e+00 2.558e-03 1.000e+00
2.868e-06 1.621e+09 2.110e-01 1.540e+00 2.882e-03 1.000e+00
3.098e-06 1.622e+09 2.111e-01 1.600e+00 3.233e-03 1.000e+00
3.345e-06 1.623e+09 2.112e-01 1.660e+00 3.611e-03 1.000e+00
3.613e-06 1.624e+09 2.113e-01 1.720e+00 4.018e-03 1.000e+00
3.902e-06 1.625e+09 2.115e-01 1.790e+00 4.530e-03 1.000e+00
4.214e-06 1.626e+09 2.116e-01 1.860e+00 5.083e-03 1.000e+00
4.551e-06 1.627e+09 2.117e-01 1.930e+00 5.681e-03 1.000e+00
4.915e-06 1.628e+09 2.119e-01 2.000e+00 6.324e-03 1.000e+00
5.309e-06 1.630e+09 2.121e-01 2.080e+00 7.116e-03 1.000e+00
5.733e-06 1.631e+09 2.123e-01 2.160e+00 7.972e-03 1.000e+00
6.192e-06 1.633e+09 2.125e-01 2.240e+00 8.894e-03 1.000e+00
6.687e-06 1.634e+09 2.127e-01 2.330e+00 1.001e-02 1.000e+00
7.222e-06 1.636e+09 2.129e-01 2.410e+00 1.109e-02 1.000e+00
7.800e-06 1.638e+09 2.132e-01 2.500e+00 1.238e-02 1.000e+00
8.424e-06 1.640e+09 2.135e-01 2.600e+00 1.393e-02 1.000e+00
9.098e-06 1.642e+09 2.138e-01 2.700e+00 1.561e-02 1.000e+00
9.826e-06 1.645e+09 2.141e-01 2.800e+00 1.742e-02 1.000e+00
1.061e-05 1.648e+09 2.144e-01 2.900e+00 1.937e-02 1.000e+00
1.146e-05 1.650e+09 2.148e-01 3.010e+00 2.168e-02 1.000e+00
1.238e-05 1.654e+09 2.152e-01 3.120e+00 2.416e-02 1.000e+00
1.337e-05 1.657e+09 2.156e-01 3.240e+00 2.708e-02 1.000e+00
1.444e-05 1.660e+09 2.161e-01 3.360e+00 3.022e-02 1.000e+00
1.559e-05 1.664e+09 2.166e-01 3.480e+00 3.361e-02 1.000e+00
1.684e-05 1.668e+09 2.171e-01 3.610e+00 3.756e-02 1.000e+00
1.819e-05 1.673e+09 2.177e-01 3.740e+00 4.181e-02 1.000e+00
1.964e-05 1.678e+09 2.183e-01 3.870e+00 4.638e-02 1.000e+00
2.121e-05 1.683e+09 2.190e-01 4.010e+00 5.166e-02 1.000e+00
2.291e-05 1.688e+09 2.197e-01 4.160e+00 5.775e-02 1.000e+00
2.474e-05 1.694e+09 2.205e-01 4.300e+00 6.387e-02 1.000e+00
2.672e-05 1.700e+09 2.213e-01 4.450e+00 7.090e-02 1.000e+00
2.886e-05 1.707e+09 2.222e-01 4.610e+00 7.896e-02 1.000e+00
3.117e-05 1.714e+09 2.231e-01 4.770e+00 8.762e-02 1.000e+00
3.366e-05 1.722e+09 2.242e-01 4.930e+00 9.692e-02 1.000e+00
3.636e-05 1.731e+09 2.253e-01 5.100e+00 1.075e-01 1.000e+00
3.926e-05 1.740e+09 2.264e-01 5.270e+00 1.189e-01 1.000e+00
4.241e-05 1.749e+09 2.277e-01 5.440e+00 1.311e-01 1.000e+00
4.580e-05 1.760e+09 2.290e-01 5.620e+00 1.449e-01 1.000e+00
4.946e-05 1.771e+09 2.305e-01 5.800e+00 1.597e-01 1.000e+00
5.342e-05 1.783e+09 2.320e-01 5.980e+00 1.755e-01 1.000e+00
5.769e-05 1.795e+09 2.337e-01 6.170e+00 1.933e-01 1.000e+00
6.231e-05 1.809e+09 2.355e-01 6.360e+00 2.124e-01 1.000e+00
6.729e-05 1.824e+09 2.374e-01 6.550e+00 2.328e-01 1.000e+00
7.268e-05 1.839e+09 2.394e-01 6.750e+00 2.557e-01 1.000e+00
7.849e-05 1.856e+09 2.416e-01 6.940e+00 2.790e-01 1.000e+00
8.477e-05 1.874e+09 2.439e-01 7.140e+00 3.051e-01 1.000e+00
9.155e-05 1.893e+09 2.464e-01 7.340e+00 3.329e-01 1.000e+00
9.887e-05 1.914e+09 2.490e-01 7.540e+00 3.625e-01 1.000e+00
1.068e-04 1.935e+09 2.519e-01 7.740e+00 3.940e-01 1.000e+00
1.153e-04 1.959e+09 2.549e-01 7.940e+00 4.276e-01 1.000e+00
1.246e-04 1.984e+09 2.582e-01 8.140e+00 4.632e-01 1.000e+00
1.345e-04 2.011e+09 2.617e-01 8.340e+00 5.011e-01 1.000e+00
1.453e-04 2.040e+09 2.655e-01 8.540e+00 5.412e-01 1.000e+00
1.569e-04 2.070e+09 2.695e-01 8.730e+00 5.820e-01 1.000e+00
1.695e-04 2.103e+09 2.738e-01 8.930e+00 6.270e-01 1.000e+00
1.830e-04 2.139e+09 2.783e-01 9.120e+00 6.726e-01 1.000e+00
1.976e-04 2.177e+09 2.833e-01 9.300e+00 7.187e-01 1.000e+00
2.135e-04 2.217e+09 2.886e-01 9.480e+00 7.673e-01 1.000e+00
2.305e-04 2.261e+09 2.942e-01 9.660e+00 8.184e-01 1.000e+00
2.490e-04 2.307e+09 3.003e-01 9.830e+00 8.699e-01 1.000e+00
2.689e-04 2.357e+09 3.068e-01 1.000e+01 9.240e-01 1.000e+00
2.904e-04 2.411e+09 3.138e-01 1.016e+01 9.782e-01 1.000e+00
3.136e-04 2.469e+09 3.213e-01 1.031e+01 1.032e+00 1.000e+00
3.387e-04 2.531e+09 3.293e-01 1.045e+01 1.087e+00 1.000e+00
3.658e-04 2.597e+09 3.380e-01 1.059e+01 1.143e+00 1.000e+00
3.951e-04 2.669e+09 3.473e-01 1.072e+01 1.199e+00 1.000e+00
4.267e-04 2.745e+09 3.573e-01 1.084e+01 1.254e+00 1.000e+00
4.608e-04 2.828e+09 3.681e-01 1.095e+01 1.309e+00 1.000e+00
4.977e-04 2.917e+09 3.796e-01 1.105e+01 1.362e+00 1.000e+00
5.375e-04 3.013e+09 3.921e-01 1.115e+01 1.417e+00 1.000e+00
5.805e-04 3.116e+09 4.055e-01 1.123e+01 1.468e+00 1.000e+00
6.270e-04 3.227e+09 4.200e-01 1.130e+01 1.517e+00 1.000e+00
6.771e-04 3.346e+09 4.355e-01 1.137e+01 1.567e+00 1.000e+00
7.313e-04 3.475e+09 4.523e-01 1.142e+01 1.612e+00 1.000e+00
7.898e-04 3.614e+09 4.703e-01 1.147e+01 1.658e+00 1.000e+00
8.530e-04 3.763e+09 4.898e-01 1.151e+01 1.702e+00 1.000e+00
9.212e-04 3.925e+09 5.108e-01 1.153e+01 1.739e+00 1.000e+00
9.949e-04 4.099e+09 5.334e-01 1.155e+01 1.777e+00 1.000e+00
1.075e-03 4.286e+09 5.578e-01 1.156e+01 1.812e+00 1.000e+00
1.160e-03 4.488e+09 5.842e-01 1.156e+01 1.844e+00 1.000e+00
1.253e-03 4.707e+09 6.126e-01 1.155e+01 1.872e+00 1.000e+00
1.354e-03 4.942e+09 6.432e-01 1.153e+01 1.897e+00 1.000e+00
1.462e-03 5.196e+09 6.763e-01 1.151e+01 1.921e+00 1.000e+00
1.579e-03 5.471e+09 7.120e-01 1.148e+01 1.942e+00 1.000e+00
1.705e-03 5.766e+09 7.505e-01 1.144e+01 1.959e+00 1.000e+00
1.842e-03 6.086e+09 7.921e-01 1.140e+01 1.975e+00 1.000e+00
1.989e-03 6.431e+09 8.369e-01 1.135e+01 1.987e+00 1.000e+00
2.148e-03 6.803e+09 8.854e-01 1.129e+01 1.995e+00 1.000e+00
2.320e-03 7.205e+09 9.377e-01 1.123e+01 2.002e+00 1.000e+00
2.505e-03 7.639e+09 9.941e-01 1.117e+01 2.008e+00 1.000e+00
2.706e-03 8.107e+09 1.055e+00 1.110e+01 2.011e+00 1.000e+00
2.922e-03 8.613e+09 1.121e+00 1.102e+01 2.009e+00 0.000e+00
3.156e-03 9.159e+09 1.192e+00 1.095e+01 2.009e+00 0.000e+00
3.409e-03 9.748e+09 1.269e+00 1.087e+01 2.005e+00 0.000e+00
3.681e-03 1.038e+10 1.352e+00 1.079e+01 1.999e+00 0.000e+00
