# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=600.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=5.806289137042e+08
# B0_gev_fm3=7.556822962283e-02
# B_mev4=1.012390039725e+05
# B_gev_fm3=1.317614765371e-05
# B_1_4_mev=17.837622
# B_min_mev4=6.005214958383e+05
# B_min_gev_fm3=7.815722782636e-05
# B_min_1_4_mev=27.837622
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
6.971e-08 2.036e+07 2.649e-03 2.111e+01 7.918e-02 1.000e+00
7.529e-08 2.073e+07 2.698e-03 2.168e+01 8.642e-02 1.000e+00
8.132e-08 2.113e+07 2.750e-03 2.225e+01 9.416e-02 1.000e+00
8.782e-08 2.156e+07 2.806e-03 2.282e+01 1.024e-01 1.000e+00
9.485e-08 2.201e+07 2.865e-03 2.339e+01 1.113e-01 1.000e+00
1.024e-07 2.250e+07 2.929e-03 2.397e+01 1.209e-01 1.000e+00
1.106e-07 2.302e+07 2.997e-03 2.453e+01 1.308e-01 1.000e+00
1.195e-07 2.358e+07 3.069e-03 2.509e+01 1.414e-01 1.000e+00
1.290e-07 2.418e+07 3.147e-03 2.565e+01 1.527e-01 1.000e+00
1.394e-07 2.481e+07 3.229e-03 2.620e+01 1.645e-01 1.000e+00
1.505e-07 2.549e+07 3.317e-03 2.675e+01 1.771e-01 1.000e+00
1.626e-07 2.621e+07 3.412e-03 2.728e+01 1.901e-01 1.000e+00
1.756e-07 2.699e+07 3.512e-03 2.780e+01 2.037e-01 1.000e+00
1.896e-07 2.781e+07 3.619e-03 2.831e+01 2.179e-01 1.000e+00
2.048e-07 2.869e+07 3.733e-03 2.881e+01 2.327e-01 1.000e+00
2.211e-07 2.962e+07 3.855e-03 2.930e+01 2.482e-01 1.000e+00
2.388e-07 3.062e+07 3.985e-03 2.977e+01 2.641e-01 1.000e+00
2.579e-07 3.168e+07 4.123e-03 3.000e+01 2.759e-01 1.000e+00
2.786e-07 3.280e+07 4.269e-03 3.000e+01 2.834e-01 1.000e+00
