# source=E  λ_Δ=λ₀/8
# integrator=rk4  rstep_km=0.01
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
1.844759e-09 1.706853e+06 2.221451e-04 3.000000e+01 1.929352e-02 1.000000e+00
1.992340e-09 1.764076e+06 2.295926e-04 3.000000e+01 1.984013e-02 1.000000e+00
2.151727e-09 1.825943e+06 2.376445e-04 3.000000e+01 2.042505e-02 1.000000e+00
2.323865e-09 1.892823e+06 2.463488e-04 3.000000e+01 2.105047e-02 1.000000e+00
2.509774e-09 1.965109e+06 2.557568e-04 3.000000e+01 2.171861e-02 1.000000e+00
2.710556e-09 2.043222e+06 2.659232e-04 3.000000e+01 2.243171e-02 1.000000e+00
2.927401e-09 2.127609e+06 2.769060e-04 3.000000e+01 2.319203e-02 1.000000e+00
3.161593e-09 2.218740e+06 2.887666e-04 3.000000e+01 2.400184e-02 1.000000e+00
3.414520e-09 2.317111e+06 3.015696e-04 3.000000e+01 2.486335e-02 1.000000e+00
3.687682e-09 2.423239e+06 3.153820e-04 3.000000e+01 2.577877e-02 1.000000e+00
3.982696e-09 2.537657e+06 3.302733e-04 3.000000e+01 2.675021e-02 1.000000e+00
4.301312e-09 2.660907e+06 3.463141e-04 3.000000e+01 2.777973e-02 1.000000e+00
4.645417e-09 2.793534e+06 3.635754e-04 3.000000e+01 2.886928e-02 1.000000e+00
5.017050e-09 2.936070e+06 3.821264e-04 3.000000e+01 3.002072e-02 1.000000e+00
5.418414e-09 3.089019e+06 4.020325e-04 3.000000e+01 3.123582e-02 1.000000e+00
5.851888e-09 3.252831e+06 4.233525e-04 3.000000e+01 3.251628e-02 1.000000e+00
6.320039e-09 3.427872e+06 4.461339e-04 3.000000e+01 3.386373e-02 1.000000e+00
6.825642e-09 3.614384e+06 4.704082e-04 3.000000e+01 3.527985e-02 1.000000e+00
7.371693e-09 3.812425e+06 4.961831e-04 3.000000e+01 3.676642e-02 1.000000e+00
7.961428e-09 4.021807e+06 5.234339e-04 3.000000e+01 3.832544e-02 1.000000e+00
8.598343e-09 4.241996e+06 5.520912e-04 3.000000e+01 3.995937e-02 1.000000e+00
9.286210e-09 4.472140e+06 5.820442e-04 3.000000e+01 4.167130e-02 1.000000e+00
1.002911e-08 4.711739e+06 6.132278e-04 3.000000e+01 4.346469e-02 1.000000e+00
1.083144e-08 4.960379e+06 6.455880e-04 3.000000e+01 4.534303e-02 1.000000e+00
1.169795e-08 5.217497e+06 6.790517e-04 3.000000e+01 4.730997e-02 1.000000e+00
1.263379e-08 5.482380e+06 7.135259e-04 3.000000e+01 4.936952e-02 1.000000e+00
1.364449e-08 5.754154e+06 7.488970e-04 3.000000e+01 5.152615e-02 1.000000e+00
1.473605e-08 6.031795e+06 7.850316e-04 3.000000e+01 5.378487e-02 1.000000e+00
1.591493e-08 6.314140e+06 8.217785e-04 3.000000e+01 5.615127e-02 1.000000e+00
1.718813e-08 6.599926e+06 8.589733e-04 3.000000e+01 5.863152e-02 1.000000e+00
1.856318e-08 6.887847e+06 8.964459e-04 3.000000e+01 6.123224e-02 1.000000e+00
2.004823e-08 7.176646e+06 9.340328e-04 3.000000e+01 6.396030e-02 1.000000e+00
2.165209e-08 7.465252e+06 9.715945e-04 3.000000e+01 6.682246e-02 1.000000e+00
2.338426e-08 7.752978e+06 1.009042e-03 3.000000e+01 6.982485e-02 1.000000e+00
2.525500e-08 8.039808e+06 1.046372e-03 3.000000e+01 7.297212e-02 1.000000e+00
2.727540e-08 8.326777e+06 1.083721e-03 3.000000e+01 7.626645e-02 1.000000e+00
2.945743e-08 8.616513e+06 1.121430e-03 3.000000e+01 7.970620e-02 1.000000e+00
3.181402e-08 8.913953e+06 1.160141e-03 3.000000e+01 8.328431e-02 1.000000e+00
3.435914e-08 9.227311e+06 1.200925e-03 3.000000e+01 8.698620e-02 1.000000e+00
3.710788e-08 9.569355e+06 1.245441e-03 3.000000e+01 9.078783e-02 1.000000e+00
4.007651e-08 9.954276e+06 1.295538e-03 3.000000e+01 9.465640e-02 1.000000e+00
4.328263e-08 1.038825e+07 1.352020e-03 3.000000e+01 9.856231e-02 1.000000e+00
4.674524e-08 1.087593e+07 1.415491e-03 3.000000e+01 1.024873e-01 1.000000e+00
5.048486e-08 1.142186e+07 1.486542e-03 3.000000e+01 1.064241e-01 1.000000e+00
5.452364e-08 1.203023e+07 1.565721e-03 3.000000e+01 1.103743e-01 1.000000e+00
5.888554e-08 1.270454e+07 1.653482e-03 3.000000e+01 1.143468e-01 1.000000e+00
6.359638e-08 1.344712e+07 1.750128e-03 3.000000e+01 1.183548e-01 1.000000e+00
6.868409e-08 1.425848e+07 1.855726e-03 3.000000e+01 1.224141e-01 1.000000e+00
7.417882e-08 1.513646e+07 1.969994e-03 3.000000e+01 1.265419e-01 1.000000e+00
8.011312e-08 1.607502e+07 2.092146e-03 3.000000e+01 1.307569e-01 1.000000e+00
8.652217e-08 1.706276e+07 2.220699e-03 3.000000e+01 1.350814e-01 1.000000e+00
9.344395e-08 1.808121e+07 2.353250e-03 3.000000e+01 1.395439e-01 1.000000e+00
1.009195e-07 1.911525e+07 2.487829e-03 3.000000e+01 1.441804e-01 1.000000e+00
1.089930e-07 2.016040e+07 2.623854e-03 3.000000e+01 1.490261e-01 1.000000e+00
1.177125e-07 2.121330e+07 2.760889e-03 3.000000e+01 1.541134e-01 1.000000e+00
